"Año";"Periodo";"Gasolina95";"Diesel";"Gasolina 98"
"2002";"Diciembre";"75368.6";"233020.95";"7679.95"
"2003";"Enero";"70743.22";"238168.83";"6442.51"
"2003";"Febrero";"65436.2";"231135.08";"6282.61"
"2003";"Marzo";"73431.02";"255592.65";"6889.84"
"2003";"Abril";"79338.11";"257208.92";"8054.9"
"2003";"Mayo";"80780.63";"274990.28";"8273.63"
"2003";"Junio";"77103.3";"265358.63";"7680.19"
"2003";"Julio";"87457.41";"289250.49";"9229.44"
"2003";"Agosto";"91062.35";"266012.55";"10827.67"
"2003";"Septiembre";"79503.54";"267507.93";"8050.36"
"2003";"Octubre";"78267.16";"273492.4";"7733.18"
"2003";"Noviembre";"70937.53";"255124.56";"7072.28"
"2003";"Diciembre";"83384.29";"271846.38";"8479.7"
"2004";"Enero";"77251.81";"262611.47";"7481.64"
"2004";"Febrero";"70743.67";"259983.06";"6653.46"
"2004";"Marzo";"81210.3";"299443.52";"7937.88"
"2004";"Abril";"83024.67";"283034.55";"8852.19"
"2004";"Mayo";"79278.2";"287728.82";"7907.05"
"2004";"Junio";"84053.52";"306655.52";"8302.83"
"2004";"Julio";"93709.25";"319799.38";"9798.19"
"2004";"Agosto";"92803.26";"291525.33";"10031.24"
"2004";"Septiembre";"82809.41";"293104.7";"8037.18"
"2004";"Octubre";"80592.1";"288681.85";"7502.09"
"2004";"Noviembre";"78238.43";"293498.83";"6711.43"
"2004";"Diciembre";"83185.98";"294668.57";"8034.43"
"2005";"Enero";"74528.98";"269221.29";"6550.24"
"2005";"Febrero";"70765.69";"275132.52";"6493.82"
"2005";"Marzo";"82117.73";"303909.52";"8037.03"
"2005";"Abril";"82607.72";"312190.5";"7943.15"
"2005";"Mayo";"83953.16";"312056.75";"7647.81"
"2005";"Junio";"84647.26";"319910.51";"8085.03"
"2005";"Julio";"92681.34";"324918.96";"9112.76"
"2005";"Agosto";"97117.96";"319106.35";"9777.72"
"2005";"Septiembre";"84383.53";"304460.72";"7612.71"
"2005";"Octubre";"84033.85";"298658.2";"7509.44"
"2005";"Noviembre";"79176.4";"306483.14";"6208.33"
"2005";"Diciembre";"85858.03";"305118.88";"7763.85"
"2006";"Enero";"77577.3";"287294.26";"6458.42"
