"Año";"Periodo";"Gasolina95";"Diesel";"Gasolina 98"
"2002";"Diciembre";"14720.49";"56968.32";"1759.27"
"2003";"Enero";"13392.1";"58492.12";"1452.15"
"2003";"Febrero";"12084.56";"59036.84";"1349.87"
"2003";"Marzo";"14358.89";"64519.34";"1501.1"
"2003";"Abril";"16158.57";"63038.09";"1984.32"
"2003";"Mayo";"15689.57";"65823.41";"1592.49"
"2003";"Junio";"15359.01";"64690.57";"1769.81"
"2003";"Julio";"17898.21";"72049.35";"2202.92"
"2003";"Agosto";"18955.97";"61361.87";"2624.75"
"2003";"Septiembre";"15451.05";"65463.01";"1786.12"
"2003";"Octubre";"14974.38";"68683.45";"1724.95"
"2003";"Noviembre";"12749.14";"61962.99";"1393.89"
"2003";"Diciembre";"15301.93";"63098.37";"1861.27"
"2004";"Enero";"13273.01";"58963.89";"1477.15"
"2004";"Febrero";"13128.29";"62565.95";"1428.96"
"2004";"Marzo";"14403.52";"68412.72";"1637.04"
"2004";"Abril";"15431.73";"64178.65";"1891.41"
"2004";"Mayo";"13732.68";"66610.29";"1527.01"
"2004";"Junio";"15745.51";"71345.14";"1738.07"
"2004";"Julio";"17204.92";"74813.5";"2116.02"
"2004";"Agosto";"18102.07";"67621.63";"2307.63"
"2004";"Septiembre";"14666.05";"71829.36";"1649.94"
"2004";"Octubre";"14492.96";"70439.35";"1601.69"
"2004";"Noviembre";"13531.8";"72005.32";"1343.16"
"2004";"Diciembre";"15128.02";"69618.29";"1653.46"
"2005";"Enero";"12643.71";"63253.2";"1279.6"
"2005";"Febrero";"12185.42";"67088.11";"1200.99"
"2005";"Marzo";"15792.04";"75580.36";"1936.1"
"2005";"Abril";"14062.3";"74340.82";"1396.86"
"2005";"Mayo";"14558.42";"74493.01";"1597.73"
"2005";"Junio";"14993.41";"76380.14";"1748.38"
"2005";"Julio";"17053.66";"79648.38";"2038.36"
"2005";"Agosto";"18631.32";"73707.93";"2230.58"
"2005";"Septiembre";"15341.85";"74585.33";"1578.93"
"2005";"Octubre";"14733.32";"71541.83";"1546.97"
"2005";"Noviembre";"14198.73";"75989.67";"1365.88"
"2005";"Diciembre";"15933.15";"73428.06";"1667.43"
"2006";"Enero";"13665.27";"68479.07";"1384.84"
"2006";"Febrero";"13042.34";"72459.72";"1318.88"
"2006";"Marzo";"15025.73";"82966.94";"1572.42"
"2006";"Abril";"16274.55";"74339.96";"1829.02"
"2006";"Mayo";"15716.69";"84124.77";"1508.94"
"2006";"Junio";"15764.57";"83583.64";"1683.79"
"2006";"Julio";"16873.16";"82452.9";"1743.73"
"2006";"Agosto";"18218.21";"78693.69";"1955.92"
"2006";"Septiembre";"15490.1";"81059.65";"1563.73"
"2006";"Octubre";"15189.48";"83100.01";"1575.79"
"2006";"Noviembre";"13397.35";"81886.29";"1340.27"
"2006";"Diciembre";"15399.8";"80285.46";"1682.92"
"2007";"Enero";"13039.03";"76300.79";"1210.78"
"2007";"Febrero";"12616.66";"78353.58";"1205.73"
"2007";"Marzo";"14890.16";"88281.66";"1566.63"
"2007";"Abril";"15215.03";"76745.51";"1593"
"2007";"Mayo";"14717.65";"87248.34";"1423.06"
"2007";"Junio";"15266.06";"86982.99";"1508.24"
"2007";"Julio";"16329.03";"88134.31";"1744.6"
"2007";"Agosto";"17441.95";"83161.19";"2012.13"
"2007";"Septiembre";"14436";"77332.37";"1621"
"2007";"Octubre";"15173.96";"90701.16";"1674.05"
"2007";"Noviembre";"13561";"86816.25";"1371"
"2007";"Diciembre";"14418.93";"80221.72";"1457.84"
"2008";"Enero";"12605.2";"79635.08";"1122.35"
"2008";"Febrero";"12862.27";"85360.77";"1223.51"
"2008";"Marzo";"14587.35";"82731.38";"1441.61"
"2008";"Abril";"13651.08";"85735.49";"1202.34"
"2008";"Mayo";"13884.45";"83867.82";"1232.66"
