"Año";"Periodo";"Gasolina95";"Diesel";"Gasolina 98"
"2002";"Diciembre";"7345.84";"32947.78";"981.33"
"2003";"Enero";"6949.39";"34205.12";"875.22"
"2003";"Febrero";"6493.54";"33976.06";"805.7"
"2003";"Marzo";"7335.58";"35045.3";"953.62"
"2003";"Abril";"8443.44";"38722.37";"1117.57"
"2003";"Mayo";"8569.17";"39046.71";"1119.66"
"2003";"Junio";"8237.7";"36896.3";"1159.69"
"2003";"Julio";"9650.44";"40881.8";"1361.72"
"2003";"Agosto";"10856.59";"38913.67";"1552.9"
"2003";"Septiembre";"8539.24";"38524.93";"1157.36"
"2003";"Octubre";"8329.92";"39837.41";"1122.01"
"2003";"Noviembre";"7295.2";"36354.36";"934.25"
"2003";"Diciembre";"8921.77";"40147.38";"1232.38"
"2004";"Enero";"7643.23";"34765.96";"886.8"
"2004";"Febrero";"7752.75";"35100.41";"931.7"
"2004";"Marzo";"8257.34";"39768.91";"1059.25"
"2004";"Abril";"8987.56";"39034.57";"1190.19"
"2004";"Mayo";"8461.53";"38361.15";"1006.78"
"2004";"Junio";"8869.04";"40205.09";"1142.08"
"2004";"Julio";"10274.25";"42936.77";"1360.58"
"2004";"Agosto";"10900.8";"40873.59";"1352"
"2004";"Septiembre";"8545.7";"38904.52";"1058.13"
"2004";"Octubre";"8461.13";"38841.63";"1008.43"
"2004";"Noviembre";"8199.97";"39137.34";"862.37"
"2004";"Diciembre";"8685.82";"39232.69";"1118.87"
"2005";"Enero";"7792.98";"35514.3";"861.93"
"2005";"Febrero";"7223.56";"36225.15";"858.95"
"2005";"Marzo";"8734.07";"40240.65";"1093.87"
"2005";"Abril";"8397.04";"39820.86";"1015.58"
"2005";"Mayo";"8818.5";"41020.62";"1079.17"
"2005";"Junio";"9095.1";"41613.96";"1163.27"
"2005";"Julio";"10382.13";"44151.89";"1319.58"
"2005";"Agosto";"11443.91";"44750.72";"1396.25"
"2005";"Septiembre";"9212.8";"41114.97";"1047.15"
"2005";"Octubre";"8982.29";"38647.37";"1036.88"
"2005";"Noviembre";"8096.87";"41121.66";"844.95"
"2005";"Diciembre";"9409.12";"41194.21";"1087.19"
"2006";"Enero";"8689.8";"39214.75";"1027.21"
"2006";"Febrero";"8010.91";"37628.3";"1044.79"
"2006";"Marzo";"9513.55";"44147.81";"1240.68"
"2006";"Abril";"9395.06";"39845.77";"1183.99"
"2006";"Mayo";"9816.79";"44731.18";"1242.72"
"2006";"Junio";"9855.17";"44197.26";"1282.58"
"2006";"Julio";"10548.13";"44269.19";"1364.5"
"2006";"Agosto";"11639.65";"45556.42";"1565.79"
"2006";"Septiembre";"9698.77";"42536.9";"1295.42"
"2006";"Octubre";"9286.47";"43025.46";"1254.39"
"2006";"Noviembre";"8550.83";"41978.03";"1142.95"
"2006";"Diciembre";"9265.02";"41051.23";"1328.06"
"2007";"Enero";"8802.81";"41279.51";"1141.47"
"2007";"Febrero";"8071.33";"40224.18";"1052.54"
"2007";"Marzo";"9549.49";"46687.31";"1317.03"
"2007";"Abril";"9667.06";"43514.74";"1351.29"
"2007";"Mayo";"9550.12";"45122.54";"1292.57"
"2007";"Junio";"9734.56";"46181.21";"1376.04"
"2007";"Julio";"10777.08";"48288.73";"1486.27"
"2007";"Agosto";"11965.61";"48774.84";"1775.48"
