"Año";"Periodo";"Gasolina95";"Diesel";"Gasolina 98"
"2002";"Diciembre";"27842.74";"52772.61";"14343.54"
"2003";"Enero";"27239.61";"53650.6";"13489.22"
"2003";"Febrero";"25218.3";"50486.9";"12830.21"
"2003";"Marzo";"26687.72";"53526.1";"13708.46"
"2003";"Abril";"27972.01";"55784.41";"14532.39"
"2003";"Mayo";"27471.6";"54353.9";"14873.61"
"2003";"Junio";"26111.4";"53927.09";"14405.48"
"2003";"Julio";"28709.29";"57243.75";"15448.09"
"2003";"Agosto";"28215.46";"52723.27";"14872.87"
"2003";"Septiembre";"27701.37";"55132.05";"15193.42"
"2003";"Octubre";"29517.13";"59473.86";"16786.98"
"2003";"Noviembre";"25737.19";"53008.56";"14833.04"
"2003";"Diciembre";"29157.91";"57209.15";"17499.2"
"2004";"Enero";"26777.65";"53955.24";"15976.16"
"2004";"Febrero";"24188.99";"52595.66";"17481.91"
"2004";"Marzo";"28826.13";"62148.47";"17450.21"
"2004";"Abril";"27602.86";"56266.92";"16818.65"
"2004";"Mayo";"25447.06";"54227.35";"16238.19"
"2004";"Junio";"27188.23";"57984.5";"17724.11"
"2004";"Julio";"27598.44";"58505.54";"18172.73"
"2004";"Agosto";"28075.09";"56581.45";"17685.05"
"2004";"Septiembre";"26944.93";"56524.23";"17406.82"
"2004";"Octubre";"26762.04";"48869.4";"17687.32"
"2004";"Noviembre";"27234.1";"58637.82";"17883.04"
"2004";"Diciembre";"28458.75";"58699.22";"19081.01"
"2005";"Enero";"25771.58";"54143.2";"17460.34"
"2005";"Febrero";"24385.42";"54489.06";"16501.52"
"2005";"Marzo";"28620.47";"61605.79";"20311.47"
"2005";"Abril";"27529.68";"60485.07";"19417.73"
"2005";"Mayo";"26597.56";"58225.78";"19161.82"
"2005";"Junio";"27089.65";"59907.93";"19428.88"
"2005";"Julio";"27578.84";"59183.12";"19108.7"
"2005";"Agosto";"29348.39";"61630.59";"19647.28"
"2005";"Septiembre";"28099.8";"59846.83";"19076.22"
"2005";"Octubre";"27809.07";"59079.3";"19052.14"
"2005";"Noviembre";"27744.24";"60337.97";"19030.28"
"2005";"Diciembre";"29356.96";"61726.82";"20399.46"
"2006";"Enero";"28850.78";"65106.62";"19893.16"
"2006";"Febrero";"25193.73";"55773.32";"17577.84"
"2006";"Marzo";"31025.46";"68082.95";"21369.39"
"2006";"Abril";"27100.27";"58507.66";"18980.41"
"2006";"Mayo";"28133.76";"62295.91";"19768.23"
"2006";"Junio";"28274.91";"64161.7";"20106.85"
"2006";"Julio";"27682.2";"61232.79";"19408.32"
"2006";"Agosto";"29943.69";"63313.39";"19994.36"
"2006";"Septiembre";"28114.06";"61250.39";"19592.19"
"2006";"Octubre";"29254.48";"64246.54";"20689.28"
"2006";"Noviembre";"27983.73";"64363.64";"19510.72"
"2006";"Diciembre";"28962.13";"62307.65";"20943.56"
"2007";"Enero";"28321.89";"64507.5";"19901.68"
"2007";"Febrero";"26285.59";"59562.51";"18443.17"
