"Año";"Periodo";"Gasolina95";"Diesel";"Gasolina 98"
"2002";"Diciembre";"5316.74";"21898.06";"609.52"
"2003";"Enero";"4772.03";"22552.14";"414.76"
"2003";"Febrero";"4545.02";"22616.39";"444.13"
"2003";"Marzo";"5339.28";"23619.5";"522.41"
"2003";"Abril";"6228.59";"25847.92";"612.75"
"2003";"Mayo";"6158.24";"26394.59";"627.07"
"2003";"Junio";"6039.02";"25032.42";"665.33"
"2003";"Julio";"7553.92";"28552.55";"850.19"
"2003";"Agosto";"8914.96";"27728.5";"1077.69"
"2003";"Septiembre";"6423.31";"26568.98";"680.43"
"2003";"Octubre";"5972.69";"27158.93";"667.47"
"2003";"Noviembre";"5151.61";"24408.38";"536.84"
"2003";"Diciembre";"5914.01";"24718.56";"631.37"
"2004";"Enero";"5240.75";"24437.13";"526.63"
"2004";"Febrero";"5044.19";"23930.15";"557.96"
"2004";"Marzo";"5883.47";"27783.01";"611.52"
"2004";"Abril";"6378.19";"28256.13";"742.09"
"2004";"Mayo";"6017.74";"28134";"627"
"2004";"Junio";"6459.95";"29234.22";"688.23"
"2004";"Julio";"7625.31";"30649.08";"880.14"
"2004";"Agosto";"8636.45";"29920.03";"991.84"
"2004";"Septiembre";"6605.89";"28859.89";"694.7"
"2004";"Octubre";"5993.37";"27356.01";"641.08"
"2004";"Noviembre";"5739.97";"27562.97";"545.73"
"2004";"Diciembre";"6284.09";"27635.21";"714.88"
"2005";"Enero";"5055.19";"24767.24";"451.82"
"2005";"Febrero";"4885.68";"25944.08";"504.47"
"2005";"Marzo";"6146.21";"29229.75";"663.97"
"2005";"Abril";"5829.05";"28481.85";"627.74"
"2005";"Mayo";"6248.45";"30203.45";"663.41"
"2005";"Junio";"6411.09";"30393.99";"722.28"
"2005";"Julio";"7803.14";"31573.23";"899.26"
"2005";"Agosto";"8984.4";"32759.88";"1030.14"
"2005";"Septiembre";"6492.93";"29364.2";"717.9"
"2005";"Octubre";"6186.24";"26616.91";"699.12"
"2005";"Noviembre";"5668.48";"28975.03";"598.62"
"2005";"Diciembre";"6121.88";"28084.68";"651.08"
"2006";"Enero";"5538.34";"27638.85";"591.02"
"2006";"Febrero";"5404.37";"26770.12";"580.71"
"2006";"Marzo";"6385.2";"31378.25";"733.94"
"2006";"Abril";"6515.78";"29178.31";"814.4"
"2006";"Mayo";"6694.26";"31730.68";"722.45"
"2006";"Junio";"6540.09";"31403.07";"781.81"
"2006";"Julio";"7686.62";"31611.94";"904.28"
"2006";"Agosto";"8893.59";"33475.95";"1027.12"
"2006";"Septiembre";"6842.55";"29878.93";"791.12"
"2006";"Octubre";"6287.86";"30409.54";"737.82"
"2006";"Noviembre";"5814.93";"29592.09";"651.01"
"2006";"Diciembre";"6146.67";"28168.67";"778.31"
"2007";"Enero";"5193.63";"26124.22";"534.27"
"2007";"Febrero";"4770.42";"25930.08";"554.7"
"2007";"Marzo";"5677.45";"28261.1";"636.9"
"2007";"Abril";"5916.3";"28702.44";"672.35"
"2007";"Mayo";"5766.72";"29820.21";"661.7"
"2007";"Junio";"5896.65";"30703.75";"747.59"
"2007";"Julio";"6566.4";"32453.72";"796.64"
"2007";"Agosto";"7471.28";"32549.42";"992.37"
"2007";"Septiembre";"5606";"27538.13";"661"
"2007";"Octubre";"5900.19";"31036.6";"760.57"
"2007";"Noviembre";"5322";"29285.55";"604"
"2007";"Diciembre";"5507.82";"27205.36";"619.16"
"2008";"Enero";"4689.77";"26438.98";"543.09"
"2008";"Febrero";"5246.12";"28900.24";"571.23"
"2008";"Marzo";"5326.69";"27877.25";"624.92"
"2008";"Abril";"5510.03";"30078.34";"614.08"
"2008";"Mayo";"5844.64";"29742";"621.85"
"2008";"Junio";"5574.52";"25430.24";"652.1"
"2008";"Julio";"6801.78";"30825.8";"708.84"
"2008";"Agosto";"7469.54";"29971.2";"801.07"
"2008";"Septiembre";"5967.53";"27501.16";"608.31"
"2008";"Octubre";"5679.7";"28583.17";"515.19"
"2008";"Noviembre";"5057.77";"26127.57";"520.52"
"2008";"Diciembre";"5695.36";"26061.59";"550.17"
"2009";"Enero";"5129.76";"23004.35";"488.17"
"2009";"Febrero";"4901.45";"23738.48";"486.14"
"2009";"Marzo";"5589.53";"27643.42";"585.15"
"2009";"Abril";"5912.04";"27449.31";"587.83"
"2009";"Mayo";"5624.35";"28033.05";"558.55"
"2009";"Junio";"6270.61";"30235.46";"732.59"
"2009";"Julio";"7208.93";"32658.88";"735.38"
"2009";"Agosto";"7775.69";"32021.74";"823.98"
"2009";"Septiembre";"6101.54";"29846.56";"652.86"
"2009";"Octubre";"5904.78";"30718.37";"602.67"
"2009";"Noviembre";"5137.57";"27948.8";"508.94"
"2009";"Diciembre";"5727.83";"28421.17";"635.21"
"2010";"Enero";"4630.36";"24738";"380.3"
"2010";"Febrero";"4735.13";"26476.67";"449.27"
"2010";"Marzo";"5860.24";"31309.86";"561.71"
"2010";"Abril";"5739.8";"29176.33";"571.09"
"2010";"Mayo";"5585.86";"28641.39";"504.27"
"2010";"Junio";"5779.59";"30215.2";"573.43"
"2010";"Julio";"6877.81";"31163.39";"697.96"
"2010";"Agosto";"7597.62";"32521.67";"733.44"
"2010";"Septiembre";"5981.11";"28982.88";"587.05"
"2010";"Octubre";"5547.36";"29480.27";"546.2"
"2010";"Noviembre";"5078.12";"28726.55";"418.96"
"2010";"Diciembre";"5476.11";"27961.13";"495.05"
"2011";"Enero";"4747.47";"25334.43";"376.24"
"2011";"Febrero";"4630.17";"26123.57";"417.62"
"2011";"Marzo";"5141.66";"28983.82";"350.83"
"2011";"Abril";"5654.69";"28455.08";"517.17"
"2011";"Mayo";"5177.68";"28457.15";"378.35"
"2011";"Junio";"5554.1";"28803.49";"407.2"
"2011";"Julio";"6310.57";"30127.27";"533.12"
"2011";"Agosto";"7543.11";"32592.17";"598.03"
"2011";"Septiembre";"5631.41";"28304.16";"450.51"
"2011";"Octubre";"5454.71";"28155.58";"432.86"
"2011";"Noviembre";"4773.44";"26552.5";"310.89"
"2011";"Diciembre";"5208.74";"26712.17";"380.97"
"2012";"Enero";"4285.23";"24646.93";"295.71"
"2012";"Febrero";"4395.4";"24469.79";"275.03"
"2012";"Marzo";"5133.96";"27869.37";"368.92"
"2012";"Abril";"4890.6";"25633.49";"288.71"
"2012";"Mayo";"5176.85";"27955.38";"325.71"
"2012";"Junio";"5189.13";"25542.89";"435.45"
"2012";"Julio";"5668.2";"26675.5";"609.18"
"2012";"Agosto";"6969.71";"29376.9";"753.1"
"2012";"Septiembre";"4729.34";"23333.66";"318.55"
"2012";"Octubre";"4712.94";"24833.92";"407.25"
"2012";"Noviembre";"4212.13";"22711.23";"193.89"
"2012";"Diciembre";"4756.56";"23415.36";"269.76"
"2013";"Enero";"4076.73";"22471.29";"170.76"
"2013";"Febrero";"3793.82";"20766.09";"187.83"
"2013";"Marzo";"4664.4";"23439.85";"253.92"
"2013";"Abril";"4565.45";"23465.28";"237.08"
"2013";"Mayo";"4653.64";"23940.17";"279"
"2013";"Junio";"4541.72";"22793.26";"233.13"
"2013";"Julio";"5964.89";"27324.25";"370.65"
"2013";"Agosto";"6675.62";"28541.39";"379.6"
"2013";"Septiembre";"4702.18";"23468.52";"268.22"
"2013";"Octubre";"4783.63";"24878.12";"289.28"
"2013";"Noviembre";"4063.75";"22508.66";"215.93"
"2013";"Diciembre";"4341.37";"22823.03";"241.6"
"2014";"Enero";"4085.4";"22370.35";"210.72"
"2014";"Febrero";"3738.77";"22086.21";"193.93"
"2014";"Marzo";"4464.72";"24565.62";"255.05"
"2014";"Abril";"4800.51";"24432.95";"260.95"
"2014";"Mayo";"4640.42";"24461.07";"247.75"
"2014";"Junio";"4691.54";"24117.97";"255.58"
"2014";"Julio";"5650.12";"27301.04";"369.2"
"2014";"Agosto";"6324.28";"28166.87";"372.57"
"2014";"Septiembre";"5124.26";"25297.09";"305.59"
"2014";"Octubre";"4764.58";"25425.63";"294.08"
"2014";"Noviembre";"4080.6";"22593.97";"210.36"
"2014";"Diciembre";"4462.14";"23368.55";"271.36"
"2015";"Enero";"4282.01";"23505.65";"236.7"
"2015";"Febrero";"3586.84";"21649.92";"216.21"
"2015";"Marzo";"4538.29";"26403.64";"228.81"
"2015";"Abril";"4862.37";"25629.72";"304.68"
"2015";"Mayo";"4541.19";"25833.66";"270.82"
"2015";"Junio";"4978.96";"26861.64";"347.18"
"2015";"Julio";"5978.66";"29478.6";"417.84"
"2015";"Agosto";"6499.69";"30419.2";"437.23"
"2015";"Septiembre";"4946.98";"25549.8";"305.3"
"2015";"Octubre";"4811.78";"26966.38";"302.48"
"2015";"Noviembre";"4224.14";"24272.12";"272.36"
"2015";"Diciembre";"4860.03";"26569.48";"305.1"
"2016";"Enero";"3990.51";"22006.26";"239.58"
"2016";"Febrero";"3941.65";"23428.11";"240.51"
"2016";"Marzo";"4623.1";"26341.63";"301"
"2016";"Abril";"4341.42";"25272.52";"271.49"
"2016";"Mayo";"4574.37";"25734.62";"338.73"
"2016";"Junio";"5035.86";"27754.68";"349.04"
"2016";"Julio";"5986.6";"29687.1";"501.82"
"2016";"Agosto";"6839.15";"32673.59";"492.03"
"2016";"Septiembre";"5193.13";"28043.51";"378.08"
"2016";"Octubre";"4783.85";"27097.94";"335.25"
"2016";"Noviembre";"4303.88";"26023.32";"260.86"
"2016";"Diciembre";"4778.18";"26961.06";"373.4"
"2017";"Enero";"4040.99";"24767.85";"232.75"
"2017";"Febrero";"3888.72";"23983.51";"243.29"
"2017";"Marzo";"4604.6";"27770.49";"357.68"
"2017";"Abril";"5054.55";"27109.55";"363.68"
"2017";"Mayo";"5088.92";"28065.39";"345.53"
"2017";"Junio";"5101.32";"27627.93";"448.6"
"2017";"Julio";"6007.86";"29620.24";"438.71"
"2017";"Agosto";"6899.43";"32335.85";"525.65"
"2017";"Septiembre";"4736.65";"26455.54";"396.57"
"2017";"Octubre";"4751.87";"26827.08";"356.81"
"2017";"Noviembre";"4408.29";"25848.63";"288.1"
"2017";"Diciembre";"4470.77";"25315.98";"337.82"
"2018";"Enero";"4249.58";"25520.14";"283.91"
"2018";"Febrero";"3856.75";"24265.41";"231.13"
"2018";"Marzo";"4625.37";"27657.52";"294.52"
"2018";"Abril";"4960.67";"27357.55";"348.34"
"2018";"Mayo";"5259.17";"29839.6";"337.18"
"2018";"Junio";"5359.57";"28135.14";"317.6"
"2018";"Julio";"6386.83";"29014.9";"421.97"
"2018";"Agosto";"7410.63";"30426.75";"475.49"
"2018";"Septiembre";"5492.15";"25640.03";"341.09"
"2018";"Octubre";"5415.57";"27914.97";"332.43"
"2018";"Noviembre";"4801.56";"25933.22";"297.66"
"2018";"Diciembre";"5390.3";"26729.15";"350.36"
"2019";"Enero";"4362.51";"23771.64";"213.16"
"2019";"Febrero";"4483.09";"23898.36";""
"2019";"Marzo";"5148.4";"27402.38";"352"
"2019";"Abril";"5515.98";"28162.89";""
"2019";"Mayo";"5420.18";"28432.81";""
"2019";"Junio";"5211.7";"26435.31";""
"2019";"Julio";"6569.83";"29579.63";""
;;;;
;;;;
"Métrica":"Gasolina95"
"Fuente":"Cores"
"Clasificación":""
"Unidad":"Toneladas de combustible"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;;;
;;;;
"Métrica":"Diesel"
"Fuente":"Cores"
"Clasificación":""
"Unidad":"Toneladas de combustible"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;;;
;;;;
"Métrica":"Gasolina 98"
"Fuente":"Cores"
"Clasificación":""
"Unidad":"Toneladas de combustible"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;;;
;;;;
"Url":"https://wwwepdataes/evolucion-consumo-carburante-comunidad/952727ae-a175-4f95-9c18-638a72fcca0b/cantabria/294"
"Titulo":"Evolución del consumo de carburante en Cantabria﻿ "
"Subtitulo":""
