"Año";"Periodo";"Gasolina95";"Diesel";"Gasolina 98"
"2002";"Diciembre";"21448";"101678.85";"2340.39"
"2003";"Enero";"18671.93";"106727.01";"1851.28"
"2003";"Febrero";"17217.55";"107525.43";"1661.58"
"2003";"Marzo";"20091.55";"113486.67";"2004.86"
"2003";"Abril";"24360.65";"114074.58";"2710.95"
"2003";"Mayo";"23151.93";"117227.38";"2373.67"
"2003";"Junio";"21692.75";"114918.3";"2334.11"
"2003";"Julio";"26485.6";"130234.64";"2908.73"
"2003";"Agosto";"29235.01";"113635.36";"3540.82"
"2003";"Septiembre";"23539.44";"117525.28";"2437.22"
"2003";"Octubre";"22062.1";"125187.47";"2370.17"
"2003";"Noviembre";"19319.52";"114892.63";"2001.46"
"2003";"Diciembre";"23156.39";"117481.07";"2606.68"
"2004";"Enero";"19941.4";"110922.63";"1993.98"
"2004";"Febrero";"20136.49";"117036.84";"2139.37"
"2004";"Marzo";"20891.28";"123338.61";"2193.13"
"2004";"Abril";"24257.1";"120472.46";"2745.4"
"2004";"Mayo";"21146.98";"121026.37";"2184.35"
"2004";"Junio";"22947.64";"130668.83";"2420.71"
"2004";"Julio";"26841.62";"137798.03";"3064.43"
"2004";"Agosto";"28209.23";"124493.53";"3057.92"
"2004";"Septiembre";"23073.11";"126248.45";"2442.73"
"2004";"Octubre";"22603.03";"125654.85";"2282.99"
"2004";"Noviembre";"20280.31";"126838.65";"1980.01"
"2004";"Diciembre";"22874.96";"127103.71";"2272.68"
"2005";"Enero";"18972.16";"111729.55";"1815.49"
"2005";"Febrero";"17744.9";"120111.22";"1755.23"
"2005";"Marzo";"23587.76";"134192.24";"2560.69"
"2005";"Abril";"21302.38";"135574.01";"2179.84"
"2005";"Mayo";"22917.36";"135783.09";"2426.35"
"2005";"Junio";"22609.82";"139089.98";"2407.93"
"2005";"Julio";"26436.63";"143575.78";"2801.17"
"2005";"Agosto";"28372.85";"137040.31";"3041.6"
"2005";"Septiembre";"23404.72";"132885.47";"2262.09"
"2005";"Octubre";"22386.79";"133678.9";"2091.56"
"2005";"Noviembre";"20960.84";"137324.97";"1947.72"
"2005";"Diciembre";"24438.65";"137355.68";"2496.41"
"2006";"Enero";"20796.41";"122258";"1959.12"
"2006";"Febrero";"19203.09";"123249.15";"1926.64"
"2006";"Marzo";"22826.8";"139780.61";"2365.19"
"2006";"Abril";"25371.05";"129574.11";"2715.17"
"2006";"Mayo";"23902.22";"137758.83";"2355.86"
"2006";"Junio";"23474.43";"142125.83";"2436.51"
"2006";"Julio";"25673.43";"141362.17";"2617.83"
"2006";"Agosto";"27905.97";"135785.98";"2786.98"
"2006";"Septiembre";"23945.23";"132941.26";"2322.06"
"2006";"Octubre";"23372.83";"135615.97";"2376.23"
"2006";"Noviembre";"20532.88";"132860.13";"2081.39"
"2006";"Diciembre";"23624.63";"132516.81";"2413.3"
"2007";"Enero";"18658.57";"120437.77";"1839.74"
"2007";"Febrero";"18122.34";"123083.16";"1748.46"
"2007";"Marzo";"22339.73";"145229.9";"2427.32"
"2007";"Abril";"22340.28";"127445.09";"2354.97"
"2007";"Mayo";"21635.31";"135201.63";"2172.75"
"2007";"Junio";"21765.23";"138979.35";"2277.78"
"2007";"Julio";"23857.03";"146633.48";"2489.18"
"2007";"Agosto";"26573.18";"141328.97";"2895.68"
"2007";"Septiembre";"21315";"128986.26";"2198"
"2007";"Octubre";"22544.13";"148773.14";"2278"
"2007";"Noviembre";"19784";"137281.74";"1961"
"2007";"Diciembre";"20806.93";"129547.97";"2089.68"
"2008";"Enero";"18307.7";"124741.81";"1643.04"
"2008";"Febrero";"18157.9";"131884.05";"1706.49"
"2008";"Marzo";"21396.7";"131120.37";"2063.93"
