"Año";"Periodo";"Gasolina95";"Diesel";"Gasolina 98"
"2002";"Diciembre";"27325.04";"123199.8";"3484.67"
"2003";"Enero";"23196.36";"120087.63";"2386.96"
"2003";"Febrero";"21143.84";"126256.49";"2270.07"
"2003";"Marzo";"24988.05";"134073.96";"2803.89"
"2003";"Abril";"30897.59";"135764.35";"3656.14"
"2003";"Mayo";"29038.64";"141445.25";"3239.94"
"2003";"Junio";"28122.22";"138656.76";"3375.49"
"2003";"Julio";"34903.44";"158069.21";"4661.63"
"2003";"Agosto";"41614.32";"146796.07";"6296.55"
"2003";"Septiembre";"30135.79";"147471.32";"3639.83"
"2003";"Octubre";"28994.4";"154570.75";"3427.34"
"2003";"Noviembre";"24656.62";"138809.94";"2872.93"
"2003";"Diciembre";"29599.93";"138481.1";"3760"
"2004";"Enero";"25131.32";"130589.37";"2865.41"
"2004";"Febrero";"26977.59";"139834.35";"3062.99"
"2004";"Marzo";"26691.72";"152951.88";"3067.69"
"2004";"Abril";"31450.03";"150000.97";"3789.25"
"2004";"Mayo";"27208.37";"151054.81";"3088.56"
"2004";"Junio";"29676.99";"157397.6";"3442.98"
"2004";"Julio";"36235.57";"172796.14";"4710.82"
"2004";"Agosto";"40937.32";"160242.34";"5567.39"
"2004";"Septiembre";"30620.59";"159981.29";"3523.19"
"2004";"Octubre";"29527.39";"158626.76";"3306.75"
"2004";"Noviembre";"26854.5";"159496.51";"2696.93"
"2004";"Diciembre";"29925.73";"154876.74";"3394.84"
"2005";"Enero";"23775.92";"134007.47";"2454.24"
"2005";"Febrero";"22547.79";"143912.53";"2332.61"
"2005";"Marzo";"30246.6";"162942.64";"3518.19"
"2005";"Abril";"27607.7";"164327.45";"2981.76"
"2005";"Mayo";"29327.55";"163863.4";"3079.28"
"2005";"Junio";"29797.21";"166677.04";"3395.92"
"2005";"Julio";"36116.87";"177168.1";"4414.18"
"2005";"Agosto";"43415.83";"179583.32";"5605.31"
"2005";"Septiembre";"31842.64";"167368.11";"3379.74"
"2005";"Octubre";"30982.37";"164110.52";"3310.56"
"2005";"Noviembre";"28333.8";"167285.52";"2813.71"
"2005";"Diciembre";"32741.35";"164111.08";"3574.17"
"2006";"Enero";"28294.16";"153261.05";"2875.93"
"2006";"Febrero";"26454.45";"154869.63";"2735.51"
"2006";"Marzo";"30442.24";"183172.66";"3256.79"
"2006";"Abril";"35343.98";"169206.04";"4131.92"
"2006";"Mayo";"33519.96";"188058.14";"3506.69"
"2006";"Junio";"32902.34";"184319.72";"3459.47"
"2006";"Julio";"37250.58";"186874.03";"4272.82"
"2006";"Agosto";"43959.31";"190046.52";"5210.28"
"2006";"Septiembre";"33413.64";"183420.11";"3630.58"
"2006";"Octubre";"32666.08";"187583.03";"3525.79"
"2006";"Noviembre";"29006.05";"183120.68";"2971.19"
"2006";"Diciembre";"32514.46";"175323.24";"3720.94"
"2007";"Enero";"26858.88";"165606.58";"2617.5"
"2007";"Febrero";"25164.96";"166838.24";"2548.94"
"2007";"Marzo";"29975.97";"192879.47";"3286.49"
"2007";"Abril";"31959.08";"178807.6";"3523.65"
"2007";"Mayo";"30072.43";"190699.02";"3104.72"
"2007";"Junio";"31783.15";"191220.77";"3385.66"
"2007";"Julio";"35201.85";"204387.93";"4218.61"
"2007";"Agosto";"41703.39";"203326.17";"5286.04"
"2007";"Septiembre";"30489.73";"184623.92";"3594"
"2007";"Octubre";"32501.6";"205785.71";"3592.52"
"2007";"Noviembre";"28259.52";"191757.9";"2875"
"2007";"Diciembre";"29775.52";"177882.4";"3281.96"
"2008";"Enero";"25687.08";"173468.1";"2469.78"
"2008";"Febrero";"25492.86";"180728.19";"2489.14"
"2008";"Marzo";"30142.27";"187460.31";"3221.11"
"2008";"Abril";"27982.4";"188364.88";"2597.12"
"2008";"Mayo";"29514.37";"184458.19";"2834.49"
"2008";"Junio";"28209.19";"166683.3";"2935.4"
"2008";"Julio";"34571.76";"202449.51";"3405.39"
"2008";"Agosto";"39262.84";"187393.83";"4204.36"
"2008";"Septiembre";"30119.87";"179852.4";"2798.32"
"2008";"Octubre";"29886.41";"187204.2";"2723.57"
"2008";"Noviembre";"26058.76";"167972.23";"2253.1"
"2008";"Diciembre";"28352.84";"163941.68";"2764.66"
"2009";"Enero";"24216.35";"148687.87";"2103.8"
"2009";"Febrero";"23147.79";"148974.7";"2075.83"
"2009";"Marzo";"26908.76";"166932.55";"2465.04"
"2009";"Abril";"30101.27";"173358.79";"2998.88"
"2009";"Mayo";"27129.18";"168436.07";"2356.46"
"2009";"Junio";"29220.48";"177102.17";"2850.08"
"2009";"Julio";"34589.38";"195262.9";"3626.95"
"2009";"Agosto";"37950.19";"183405.12";"4111.38"
"2009";"Septiembre";"29023.72";"176238.05";"2782.7"
"2009";"Octubre";"29583.3";"184258.68";"3028.58"
"2009";"Noviembre";"24178.99";"165447.04";"2204.88"
"2009";"Diciembre";"27426.8";"166904.31";"2568.72"
"2010";"Enero";"22159.91";"144026.2";"1987.43"
"2010";"Febrero";"21799.12";"154131.88";"1779.55"
"2010";"Marzo";"27963.25";"183580.88";"2809.27"
"2010";"Abril";"27413.93";"172122.05";"2316"
"2010";"Mayo";"26203.07";"171227.63";"2166.15"
"2010";"Junio";"28216.84";"183117.13";"2604.33"
"2010";"Julio";"32146.16";"190969.25";"3161.64"
"2010";"Agosto";"35626.1";"186464.02";"3691.64"
"2010";"Septiembre";"27994.14";"173320.07";"2670.41"
"2010";"Octubre";"27189.8";"178331.35";"2337.75"
"2010";"Noviembre";"24110.68";"172328.52";"1913.63"
"2010";"Diciembre";"26115.99";"164868.62";"2243.51"
"2011";"Enero";"21519.48";"145895.58";"1591.07"
"2011";"Febrero";"21195.7";"152720.45";"1479.42"
"2011";"Marzo";"23089.47";"168023.39";"1934.53"
"2011";"Abril";"26355.93";"164276.23";"1929.76"
"2011";"Mayo";"23959.05";"166857.09";"1477.42"
"2011";"Junio";"25833.89";"169555.27";"1836.67"
"2011";"Julio";"29958.01";"178192.63";"2386.31"
"2011";"Agosto";"34433.98";"186106.03";"2947.86"
"2011";"Septiembre";"26456.37";"168894.93";"2152.54"
"2011";"Octubre";"25030.12";"165616.73";"1716.88"
"2011";"Noviembre";"21893.99";"156203.3";"1361.01"
"2011";"Diciembre";"24846.72";"155994.67";"1720.84"
"2012";"Enero";"20698.61";"140048.61";"1274.19"
"2012";"Febrero";"20831.64";"150212.66";"1308.56"
"2012";"Marzo";"20938.92";"126324.06";"1419.67"
"2012";"Abril";"21881.17";"124892.76";"1176.27"
"2012";"Mayo";"21356.77";"125243.86";"1131.25"
"2012";"Junio";"23420.2";"129123.55";"1581.78"
"2012";"Julio";"25418.81";"137743.91";"2002.33"
"2012";"Agosto";"30712.98";"149384.9";"2220.64"
"2012";"Septiembre";"20986.67";"118176.77";"1899.19"
"2012";"Octubre";"22021.83";"130470.69";"1012.28"
"2012";"Noviembre";"19443.43";"118168.67";"944.26"
"2012";"Diciembre";"21871.21";"119877.81";"1655.1"
"2013";"Enero";"17096.97";"108983.69";"812.96"
"2013";"Febrero";"16168.27";"104634.94";"762.7"
"2013";"Marzo";"19455.37";"113573.31";"1281.71"
"2013";"Abril";"20294.35";"119130.28";"916.53"
"2013";"Mayo";"19982.8";"120085.01";"1017.32"
"2013";"Junio";"20017.84";"114187.13";"1070.2"
"2013";"Julio";"25039.99";"136407.03";"1491.26"
"2013";"Agosto";"28921.63";"142205.56";"2065.01"
"2013";"Septiembre";"20419.07";"118992.83";"1390.08"
"2013";"Octubre";"20617.37";"128390.94";"995.36"
"2013";"Noviembre";"18215.14";"117665.46";"886.12"
"2013";"Diciembre";"19696.63";"118267.65";"1107.83"
"2014";"Enero";"17172.95";"109524.72";"821.6"
"2014";"Febrero";"15019.51";"103876.9";"746.04"
"2014";"Marzo";"18399.51";"118961.62";"957.73"
"2014";"Abril";"20123.82";"121015.14";"993.55"
"2014";"Mayo";"19662.67";"121164.09";"1007.84"
"2014";"Junio";"19373.29";"120390.48";"1116.49"
"2014";"Julio";"23819.53";"139122.32";"1490.28"
"2014";"Agosto";"27102.94";"139383.28";"1999.4"
"2014";"Septiembre";"20622.75";"127338.65";"1288.18"
"2014";"Octubre";"20311.83";"131940.35";"1136.52"
"2014";"Noviembre";"17178.31";"115258.01";"843.38"
"2014";"Diciembre";"19458.49";"119260.12";"1140.44"
"2015";"Enero";"17954.01";"120293.2";"1062.27"
"2015";"Febrero";"15054.54";"113592.83";"813.37"
"2015";"Marzo";"19218.55";"129531.85";"1171.04"
"2015";"Abril";"20306.48";"128561.55";"1146.11"
"2015";"Mayo";"19542.08";"128884.95";"1094.96"
"2015";"Junio";"20609.11";"134911.57";"1247.49"
"2015";"Julio";"25335.87";"155572.79";"1757.51"
"2015";"Agosto";"27622.22";"155398.94";"2228.1"
"2015";"Septiembre";"20877.71";"139860.98";"1375.8"
"2015";"Octubre";"21081.51";"147967.97";"1313.11"
