"Año";"Periodo";"Gasolina95";"Diesel";"Gasolina 98"
"2002";"Diciembre";"79302.84";"258674.67";"15441.18"
"2003";"Enero";"73590.12";"269830.68";"13051.34"
"2003";"Febrero";"69190.88";"268251.45";"12394.91"
"2003";"Marzo";"78993.74";"288023.51";"14377.67"
"2003";"Abril";"83524.62";"282852.82";"15533.78"
"2003";"Mayo";"83396.01";"295424.92";"15132.66"
"2003";"Junio";"85378.71";"285998.35";"16204.23"
"2003";"Julio";"97140.85";"323751.97";"18825.37"
"2003";"Agosto";"90982.2";"256063.16";"18664.03"
"2003";"Septiembre";"81580.82";"274684.97";"14961.27"
"2003";"Octubre";"82082.25";"306388.29";"15204.2"
"2003";"Noviembre";"73797.28";"279327.35";"13434.04"
"2003";"Diciembre";"85895.64";"284430.63";"15938.32"
"2004";"Enero";"76151.93";"271569.09";"13710.57"
"2004";"Febrero";"69994.1";"258769.76";"10943.94"
"2004";"Marzo";"81913.44";"314089.65";"14622.39"
"2004";"Abril";"83795.44";"291956.98";"15584.66"
"2004";"Mayo";"82165.42";"303911.66";"14771.33"
"2004";"Junio";"87034.73";"308566.82";"15633.67"
"2004";"Julio";"97475.7";"344120.83";"18191"
"2004";"Agosto";"88891.2";"262696.1";"16242"
"2004";"Septiembre";"82216.07";"299520.04";"14220.07"
"2004";"Octubre";"82366.75";"298974.8";"14006.4"
"2004";"Noviembre";"78076.58";"304828.9";"12204.81"
"2004";"Diciembre";"83479.99";"305657.62";"14241.86"
"2005";"Enero";"72998.47";"274316.85";"11462.09"
"2005";"Febrero";"71788.65";"290136.35";"11676.48"
"2005";"Marzo";"82914.65";"311985.4";"14227.57"
"2005";"Abril";"80286.47";"312859.13";"12855.01"
"2005";"Mayo";"85449.65";"318968.65";"13918.43"
"2005";"Junio";"86749.42";"312871.63";"14830.07"
"2005";"Julio";"96066.78";"332101.02";"15984.08"
"2005";"Agosto";"90337.49";"282100.51";"15414.62"
"2005";"Septiembre";"84694.75";"301531.92";"12996.29"
"2005";"Octubre";"84636.12";"299333.41";"12862.91"
"2005";"Noviembre";"79918.35";"300740.39";"11250.66"
"2005";"Diciembre";"84948.31";"303694.95";"12770.38"
"2006";"Enero";"75777.78";"287472.18";"10704.07"
"2006";"Febrero";"74897.06";"295514.09";"10819.99"
"2006";"Marzo";"83480.26";"338958.66";"12408.27"
"2006";"Abril";"82870.18";"298563.43";"12817.21"
"2006";"Mayo";"87657.84";"338570.94";"12553.4"
"2006";"Junio";"87831.82";"331274.78";"13046.1"
"2006";"Julio";"95100.44";"339055.55";"13670.29"
"2006";"Agosto";"87797.2";"289032.18";"13097.12"
"2006";"Septiembre";"83655.85";"313342.55";"12087.45"
"2006";"Octubre";"83148.74";"324924.78";"12039.7"
"2006";"Noviembre";"77501.67";"318999.03";"11398.59"
"2006";"Diciembre";"80387.82";"300004.99";"11994.25"
"2007";"Enero";"74631.24";"312514.82";"10166.11"
"2007";"Febrero";"70714.52";"306307.22";"9774.38"
