"Año";"Periodo";"Gasolina95";"Diesel";"Gasolina 98"
"2002";"Diciembre";"1190.39";"1848.5";"0"
"2003";"Enero";"917.99";"1646.94";"0"
"2003";"Febrero";"1166.45";"1979.01";"0"
"2003";"Marzo";"962.09";"1719.95";"0"
"2003";"Abril";"1138.62";"1855.28";"0"
"2003";"Mayo";"1040.93";"1643.19";"0"
"2003";"Junio";"1061.43";"1541.73";"0"
"2003";"Julio";"1271.59";"2198.25";"0"
"2003";"Agosto";"1356.49";"2719.77";"0"
"2003";"Septiembre";"1069.11";"1872.56";"0"
"2003";"Octubre";"1090.93";"1909.66";"0"
"2003";"Noviembre";"985.95";"1639.11";"0"
"2003";"Diciembre";"1180.24";"1979.11";"0"
"2004";"Enero";"1092.19";"1939.23";"0"
"2004";"Febrero";"720.19";"1477.84";"38.95"
"2004";"Marzo";"1053.6";"1805.75";"0"
"2004";"Abril";"1070.76";"1867.16";"0"
"2004";"Mayo";"1059.9";"1784.4";"0"
"2004";"Junio";"1063.37";"1674.07";"0"
"2004";"Julio";"1260.66";"2366.88";"0"
"2004";"Agosto";"1338.88";"2877.13";"0"
"2004";"Septiembre";"1102.74";"1996.09";"0"
"2004";"Octubre";"1002.26";"6242.92";"0"
"2004";"Noviembre";"929.03";"1574.56";"0"
"2004";"Diciembre";"1107.45";"1843.77";"0"
"2005";"Enero";"992.63";"1707.8";"0"
"2005";"Febrero";"1323.24";"1620.64";"0"
"2005";"Marzo";"1002.06";"1698.15";"0"
"2005";"Abril";"1025.49";"1742.42";"0"
"2005";"Mayo";"967.76";"1568.18";"22.76"
"2005";"Junio";"1041.65";"1515.3";"45.41"
"2005";"Julio";"1169.78";"2188.68";"45.34"
"2005";"Agosto";"1290.35";"2858.75";"68.07"
"2005";"Septiembre";"1060.2";"1987.6";"22.78"
"2005";"Octubre";"944.97";"1591.64";"45.51"
"2005";"Noviembre";"878.21";"1624.79";"22.71"
"2005";"Diciembre";"874.06";"1734.41";"45.45"
"2006";"Enero";"961.5";"1683.55";"22.73"
"2006";"Febrero";"863.54";"1606.38";"78.13"
"2006";"Marzo";"921.61";"1895.64";"50.04"
"2006";"Abril";"958.79";"1748.19";"104.96"
"2006";"Mayo";"931.37";"1583.92";"69.77"
"2006";"Junio";"974.3";"1639.87";"104.43"
"2006";"Julio";"1025.71";"2255.76";"97.55"
"2006";"Agosto";"1117.14";"2951.2";"119.59"
"2006";"Septiembre";"945.45";"2050.72";"121.81"
"2006";"Octubre";"859.24";"1560.91";"70.51"
