"Año";"Periodo";"Gasolina95";"Diesel";"Gasolina 98"
"2002";"Diciembre";"74138.24";"167606.25";"8112.83"
"2003";"Enero";"70432.1";"163850";"6932.32"
"2003";"Febrero";"65589.46";"165568.85";"6644.39"
"2003";"Marzo";"71220.47";"176509.56";"7308.89"
"2003";"Abril";"69447.11";"164700.17";"7377.9"
"2003";"Mayo";"72253.73";"170293.16";"7542.77"
"2003";"Junio";"71480.85";"171914.96";"7802.69"
"2003";"Julio";"73344.3";"181095.61";"8333.52"
"2003";"Agosto";"60314.59";"145876.7";"6899.19"
"2003";"Septiembre";"67927.79";"166889.05";"7155.45"
"2003";"Octubre";"74080.16";"183971.89";"7962.44"
"2003";"Noviembre";"67754.25";"166918.71";"7055.26"
"2003";"Diciembre";"67570.25";"165132.98";"7625.61"
"2004";"Enero";"61210.31";"156462.08";"6519.7"
"2004";"Febrero";"53622.76";"160526.15";"5568.15"
"2004";"Marzo";"63912.27";"170747.37";"6920.3"
"2004";"Abril";"61320.4";"157360.13";"6908.08"
"2004";"Mayo";"62023.37";"166503.88";"6543.71"
"2004";"Junio";"66063.08";"179421.93";"7195.63"
"2004";"Julio";"65015.16";"180509.34";"7380.13"
"2004";"Agosto";"49798.97";"142574.86";"5596.72"
"2004";"Septiembre";"60206.9";"168733.06";"6515.22"
"2004";"Octubre";"62358.63";"171293.59";"6468.03"
"2004";"Noviembre";"61676.24";"173713.35";"5894.81"
"2004";"Diciembre";"64720.8";"176078.92";"7048.84"
"2005";"Enero";"58578.19";"163212.85";"5656.94"
"2005";"Febrero";"56356.08";"168603.96";"5747.25"
"2005";"Marzo";"62253.81";"181806.94";"6958.66"
"2005";"Abril";"61808.67";"183202.73";"6407.66"
"2005";"Mayo";"61678.85";"177382.21";"6491.18"
"2005";"Junio";"63368.5";"189114.25";"7046.35"
"2005";"Julio";"61687.13";"182339.64";"6862.47"
"2005";"Agosto";"50038.33";"156337.74";"5375.75"
"2005";"Septiembre";"57660.59";"175253.77";"5633.09"
"2005";"Octubre";"60776.63";"183740.57";"5905.73"
"2005";"Noviembre";"59795.1";"185410.94";"5607.74"
"2005";"Diciembre";"65079.24";"188395.2";"6497.42"
"2006";"Enero";"58897.12";"180882.63";"5567.82"
"2006";"Febrero";"55667.39";"177262.43";"5509.41"
"2006";"Marzo";"61092.92";"201822.94";"6265.91"
"2006";"Abril";"57023.37";"181753.77";"6050.75"
"2006";"Mayo";"61489.97";"196888.08";"6299.15"
"2006";"Junio";"60202.22";"203768.34";"6277.47"
"2006";"Julio";"58412.58";"195656.4";"6031.93"
"2006";"Agosto";"47721.78";"163907.47";"4915.18"
"2006";"Septiembre";"56759.5";"187924.16";"5515.24"
"2006";"Octubre";"58922.13";"192039.77";"6133.96"
"2006";"Noviembre";"57145.88";"192105.52";"5828.29"
"2006";"Diciembre";"59523.72";"193367.47";"6453.97"
"2007";"Enero";"57079.73";"196973.58";"5272.59"
"2007";"Febrero";"52273.65";"188352.2";"5319.22"
"2007";"Marzo";"60499.94";"218951.42";"6605.72"
"2007";"Abril";"53619.25";"186913.68";"5531.05"
"2007";"Mayo";"56975.37";"199231.49";"6077.67"
"2007";"Junio";"57428.99";"208311.2";"6282.79"
"2007";"Julio";"56590.84";"206101.77";"6221.96"
"2007";"Agosto";"46875.54";"175613.95";"5116.75"
"2007";"Septiembre";"52233";"188117.05";"5805"
"2007";"Octubre";"58420.76";"212777.84";"6219"
"2007";"Noviembre";"54873";"200557.46";"5512"
"2007";"Diciembre";"57230.13";"198746.95";"5960.44"
"2008";"Enero";"54820.02";"198255.34";"5163.26"
"2008";"Febrero";"52049.71";"195395.99";"5057.21"
"2008";"Marzo";"54323.59";"191830.97";"5353.62"
"2008";"Abril";"56433.71";"208090.52";"5318.88"
"2008";"Mayo";"56616.14";"199780.69";"5151.54"
"2008";"Junio";"54886.82";"198857.14";"5917.25"
"2008";"Julio";"55695.48";"204318.63";"5063.48"
"2008";"Agosto";"45057.23";"165310.14";"3991.56"
"2008";"Septiembre";"53362.86";"194997.64";"4599.46"
"2008";"Octubre";"57847.64";"210562.61";"4965.28"
"2008";"Noviembre";"54882.74";"197130.42";"4863.87"
"2008";"Diciembre";"57292.21";"199538.61";"5285.75"
"2009";"Enero";"50171.8";"178926.84";"4376.34"
"2009";"Febrero";"48275.14";"176558";"4295.11"
"2009";"Marzo";"52480.45";"188585.61";"4731.96"
"2009";"Abril";"51759.74";"184987.65";"4636.01"
"2009";"Mayo";"52105.95";"187506.19";"4584.29"
"2009";"Junio";"59100.56";"204745.76";"5650.66"
"2009";"Julio";"61274.98";"214865.78";"5895.51"
"2009";"Agosto";"40973.89";"153840.51";"3862.67"
"2009";"Septiembre";"49709.65";"182005.1";"4582.78"
"2009";"Octubre";"52356.32";"191639.8";"4976.21"
"2009";"Noviembre";"49086.27";"179820.01";"4292.63"
"2009";"Diciembre";"52735.14";"188249.56";"4742.22"
"2010";"Enero";"45553.41";"165070.79";"3619.23"
"2010";"Febrero";"46096.35";"171484.26";"3954.11"
"2010";"Marzo";"52714.07";"194302.79";"4534.62"
"2010";"Abril";"47964.85";"175414.21";"4105.7"
"2010";"Mayo";"51244.63";"191158.48";"4234.73"
"2010";"Junio";"50163.88";"190574.48";"4480.51"
"2010";"Julio";"51384.85";"191162.41";"4496.87"
"2010";"Agosto";"39968.42";"153315.57";"3390.48"
"2010";"Septiembre";"48843.43";"179325.19";"4542.8"
"2010";"Octubre";"49492.42";"173658.92";"3828.03"
"2010";"Noviembre";"49038.23";"183842.36";"3834.35"
"2010";"Diciembre";"51218.69";"187404.91";"4054.08"
"2011";"Enero";"45900.49";"172884.12";"3083.4"
"2011";"Febrero";"44842.12";"175511.76";"3212.68"
"2011";"Marzo";"48451.43";"188749.07";"2981.34"
"2011";"Abril";"46396.28";"172394.37";"3675.75"
"2011";"Mayo";"47201.89";"177326.99";"2891.29"
"2011";"Junio";"49183.03";"182859.32";"3296.83"
"2011";"Julio";"47582.32";"178164.86";"3386.93"
"2011";"Agosto";"39747.06";"153430.37";"2720.24"
"2011";"Septiembre";"45715.41";"170752.26";"2993.44"
"2011";"Octubre";"48212.2";"178175.21";"3233.4"
"2011";"Noviembre";"46162.08";"172768.12";"2894.38"
"2011";"Diciembre";"48976.04";"178717.97";"3380.88"
"2012";"Enero";"44673.92";"166287.76";"2585.07"
"2012";"Febrero";"44540.12";"171355.5";"2572.22"
"2012";"Marzo";"48429.65";"180820.04";"3060.9"
"2012";"Abril";"42476.45";"166012.57";"2288.14"
"2012";"Mayo";"46725.51";"180072.03";"2608.02"
"2012";"Junio";"49181.04";"189948.85";"3201.04"
"2012";"Julio";"46422.11";"184720.38";"2571.54"
"2012";"Agosto";"39092.54";"160956.32";"2113.94"
"2012";"Septiembre";"43479.46";"168639.54";"2320.05"
"2012";"Octubre";"47061.71";"187249.05";"2774.31"
"2012";"Noviembre";"44646.38";"176602.39";"2210.69"
"2012";"Diciembre";"47662.22";"182849.75";"2625.75"
"2013";"Enero";"42806.91";"174946.72";"1806.15"
"2013";"Febrero";"41184.71";"169910.95";"1920.6"
"2013";"Marzo";"44298.59";"181413.2";"2206.98"
"2013";"Abril";"45205.52";"185368.8";"2190.62"
"2013";"Mayo";"44741.59";"185032.2";"2346.48"
"2013";"Junio";"44564.83";"181152.2";"2290.42"
"2013";"Julio";"45967.24";"187910";"2420.53"
"2013";"Agosto";"37113.19";"155086.76";"1996.06"
"2013";"Septiembre";"41756.5";"170125.43";"2106.55"
"2013";"Octubre";"46130.72";"187607.62";"2322.14"
"2013";"Noviembre";"42960.92";"174663.25";"2208.07"
"2013";"Diciembre";"45162.28";"181291.79";"2386.51"
"2014";"Enero";"41850.88";"171422.95";"1949.56"
"2014";"Febrero";"39426.53";"165853.62";"1939.4"
"2014";"Marzo";"44513.3";"181891.24";"2268.73"
"2014";"Abril";"42801.73";"177304.95";"2211"
"2014";"Mayo";"43925.04";"180809.21";"2197.55"
"2014";"Junio";"42978.11";"179039.26";"2263.97"
"2014";"Julio";"45033.94";"191693.7";"2428.26"
"2014";"Agosto";"35917.51";"154318.96";"1948.87"
"2014";"Septiembre";"42815.71";"182420.76";"2223.64"
"2014";"Octubre";"45896.78";"195512.52";"2374.22"
"2014";"Noviembre";"41775.46";"178383.57";"2160.67"
"2014";"Diciembre";"46149.85";"193000.68";"2508.01"
"2015";"Enero";"41736.63";"177302.11";"2198.19"
"2015";"Febrero";"39618.78";"172883.09";"2268.73"
"2015";"Marzo";"43594.92";"187444.23";"2262.04"
"2015";"Abril";"42007.84";"179449.83";"2199.51"
"2015";"Mayo";"44260.26";"183650.29";"2379.43"
"2015";"Junio";"44791.43";"189280.61";"2525.96"
"2015";"Julio";"46921.27";"200387.78";"2661.95"
"2015";"Agosto";"36070.77";"157795.37";"2169.74"
"2015";"Septiembre";"42581.39";"181463.72";"2436.7"
"2015";"Octubre";"45146.96";"191907.03";"2680.18"
"2015";"Noviembre";"42535.79";"180224.86";"2473.94"
"2015";"Diciembre";"45854.01";"192206.5";"2775.1"
"2016";"Enero";"40649.47";"171378.64";"2312.27"
"2016";"Febrero";"41537.97";"179660.25";"2342.28"
"2016";"Marzo";"43065.03";"188508.51";"2715.52"
"2016";"Abril";"43904.09";"188330.72";"2638.6"
"2016";"Mayo";"43520.42";"186107.53";"2662.9"
"2016";"Junio";"46585.44";"197693.76";"3031.84"
"2016";"Julio";"44523.29";"189922.73";"3106.8"
"2016";"Agosto";"37318.84";"164652.43";"2350.64"
"2016";"Septiembre";"44366.03";"188463.02";"2792.7"
"2016";"Octubre";"43783.22";"185530.16";"2693.19"
"2016";"Noviembre";"43228.73";"186933.52";"2735.07"
"2016";"Diciembre";"46127.85";"189676.75";"3010.93"
"2017";"Enero";"41844.43";"177769.03";"2187.59"
"2017";"Febrero";"41086.3";"178245.23";"2406.53"
"2017";"Marzo";"47144.19";"203391.93";"2864.25"
"2017";"Abril";"43585.46";"180918.59";"2887.2"
"2017";"Mayo";"45038.52";"191109.03";"2836.74"
"2017";"Junio";"49399.03";"204324.54";"3120.21"
"2017";"Julio";"45456.63";"192010.99";"3057.59"
"2017";"Agosto";"37750.64";"162912.79";"2377.37"
"2017";"Septiembre";"44651.35";"183884.79";"2839.22"
"2017";"Octubre";"45847.64";"186500.17";"2898.07"
"2017";"Noviembre";"43615.32";"179647.83";"2778.63"
"2017";"Diciembre";"46815.4";"189725.79";"3082.87"
"2018";"Enero";"44738.31";"181713.57";"2498.39"
"2018";"Febrero";"42891.28";"177798.99";"2499.19"
"2018";"Marzo";"47654.49";"192677.41";"2968.97"
"2018";"Abril";"47230.22";"188875.06";"2761.01"
"2018";"Mayo";"49035.87";"188797.93";"3113.68"
"2018";"Junio";"51303.68";"195658.05";"3105.74"
"2018";"Julio";"49530.41";"193935.38";"3120.8"
"2018";"Agosto";"44502.36";"174917.07";"2883.25"
"2018";"Septiembre";"49012.36";"186619.43";"2939.27"
"2018";"Octubre";"52275.19";"200148.75";"3044.73"
"2018";"Noviembre";"49591.04";"190954.84";"2758.26"
"2018";"Diciembre";"52897.17";"192637.25";"3642.18"
"2019";"Enero";"46798.27";"176062.71";"2539.55"
"2019";"Febrero";"46938.48";"171413.77";""
"2019";"Marzo";"52071.35";"184314.44";"3005"
"2019";"Abril";"50102.86";"178813.47";""
"2019";"Mayo";"53203.92";"184524.89";""
"2019";"Junio";"54810.88";"185496.85";""
"2019";"Julio";"57266.31";"193655.28";""
;;;;
;;;;
"Métrica":"Gasolina95"
"Fuente":"Cores"
"Clasificación":""
"Unidad":"Toneladas de combustible"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;;;
;;;;
"Métrica":"Diesel"
"Fuente":"Cores"
"Clasificación":""
"Unidad":"Toneladas de combustible"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;;;
;;;;
"Métrica":"Gasolina 98"
"Fuente":"Cores"
"Clasificación":""
"Unidad":"Toneladas de combustible"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;;;
;;;;
"Url":"https://wwwepdataes/evolucion-consumo-carburante-comunidad/952727ae-a175-4f95-9c18-638a72fcca0b/madrid/304"
"Titulo":"Evolución del consumo de carburante en Comunidad de Madrid﻿ "
"Subtitulo":""
