"Año";"Periodo";"Gasolina95";"Diesel";"Gasolina 98"
"2002";"Diciembre";"49295.49";"179026.71";"6053.5"
"2003";"Enero";"45845.89";"165314.02";"5016.07"
"2003";"Febrero";"42975.61";"159311.88";"4763.37"
"2003";"Marzo";"49415.59";"168646.58";"5350.54"
"2003";"Abril";"54338.25";"178669.44";"6565.33"
"2003";"Mayo";"52914.88";"181969.74";"6123.44"
"2003";"Junio";"53677.66";"179958.27";"6427.65"
"2003";"Julio";"63816.04";"202404.17";"8055.78"
"2003";"Agosto";"63807.13";"170602.91";"8814.65"
"2003";"Septiembre";"53827.69";"177411.76";"6346.56"
"2003";"Octubre";"52912.82";"184934.79";"6238.16"
"2003";"Noviembre";"46393.91";"174506.59";"5390.35"
"2003";"Diciembre";"56082.05";"190130.39";"6695.67"
"2004";"Enero";"49742.6";"178512.78";"5638.35"
"2004";"Febrero";"47530.21";"186694.54";"5058.24"
"2004";"Marzo";"53544.42";"202520.54";"6339.27"
"2004";"Abril";"56133.22";"184481.96";"7199.99"
"2004";"Mayo";"53364.99";"193750.58";"6275.66"
"2004";"Junio";"57648";"204342.08";"7169.24"
"2004";"Julio";"66601.36";"218848.52";"8704.07"
"2004";"Agosto";"64839.66";"189443.04";"8655.74"
"2004";"Septiembre";"56566.5";"195267.66";"6988.44"
"2004";"Octubre";"55261.65";"193091.13";"6623.22"
"2004";"Noviembre";"52105.49";"195435.01";"6073.88"
"2004";"Diciembre";"55481.43";"193515.32";"7110.02"
"2005";"Enero";"48551.08";"177801.53";"5628.54"
"2005";"Febrero";"47744";"187720.94";"5780.29"
"2005";"Marzo";"56292.45";"198455.01";"7076.71"
"2005";"Abril";"53877.94";"212604.63";"6268.82"
"2005";"Mayo";"56157.67";"213353.31";"6539.29"
"2005";"Junio";"58209.98";"217577.66";"6973.46"
"2005";"Julio";"66447.93";"232462.67";"8004.38"
"2005";"Agosto";"67049.22";"204612.89";"8182.31"
"2005";"Septiembre";"57492.59";"207556.79";"6016.42"
"2005";"Octubre";"56539.47";"200567.83";"5849.42"
"2005";"Noviembre";"52697.26";"210041.97";"5012.29"
"2005";"Diciembre";"57685.02";"219106.7";"5902.4"
"2006";"Enero";"50990.46";"193317.1";"4904.13"
"2006";"Febrero";"49446.84";"204082.03";"4744.74"
"2006";"Marzo";"61148.06";"235040.98";"6227.14"
"2006";"Abril";"56219.9";"199368.99";"6188.9"
"2006";"Mayo";"58584.5";"223491.82";"5536.62"
"2006";"Junio";"58972.6";"222956.37";"6386.24"
"2006";"Julio";"65022.45";"229601.12";"6470.25"
"2006";"Agosto";"65446.46";"212590.01";"6757.3"
"2006";"Septiembre";"58783.39";"218353.2";"5544.36"
"2006";"Octubre";"55796.71";"216756.33";"5527.12"
"2006";"Noviembre";"51831.28";"215661.44";"5043.32"
"2006";"Diciembre";"54844.85";"214924.43";"5583.37"
"2007";"Enero";"51248.44";"213956.8";"4546.65"
"2007";"Febrero";"47545.12";"208395.23";"4544.76"
"2007";"Marzo";"54737.23";"234067.04";"5510.72"
"2007";"Abril";"52990.84";"210611.35";"5186.24"
"2007";"Mayo";"56227.03";"237157.79";"5378.99"
"2007";"Junio";"58150.54";"234787.15";"5757.25"
"2007";"Julio";"63495.62";"247595.13";"6224.44"
"2007";"Agosto";"64083.93";"223911.98";"6803.34"
"2007";"Septiembre";"52662";"209010.04";"5456"
"2007";"Octubre";"55618.9";"227184.31";"5117.7"
"2007";"Noviembre";"51147";"222362.92";"4838"
"2007";"Diciembre";"51596.45";"209572.58";"4666.16"
"2008";"Enero";"48021.67";"215086.87";"3997.22"
"2008";"Febrero";"47846.49";"216669.88";"4101.2"
"2008";"Marzo";"50690.18";"206848.84";"4773.51"
"2008";"Abril";"51033.68";"227961.3";"4263.72"
"2008";"Mayo";"51741.74";"217397.05";"4328.45"
"2008";"Junio";"50483.74";"203980.55";"5035.75"
"2008";"Julio";"61144.81";"240056.81";"4796.62"
"2008";"Agosto";"59313.14";"202460.76";"5113.06"
"2008";"Septiembre";"52403.49";"206867.23";"4017.89"
"2008";"Octubre";"51436.37";"210921.65";"3812.42"
"2008";"Noviembre";"46733.55";"194576.87";"3319.17"
"2008";"Diciembre";"50739.08";"200746.07";"4009.63"
"2009";"Enero";"44567.35";"182329.06";"3072.45"
"2009";"Febrero";"43396.73";"185867.1";"3268.05"
"2009";"Marzo";"46848.93";"190715.16";"3309.15"
"2009";"Abril";"49138.44";"196043.62";"3682.49"
"2009";"Mayo";"48400.15";"197815.96";"3577.34"
"2009";"Junio";"50598.72";"201239.16";"3652.93"
"2009";"Julio";"58933";"220238.91";"4426.09"
"2009";"Agosto";"56121.72";"190792.07";"4551.85"
"2009";"Septiembre";"48836.58";"187623.39";"3420.17"
"2009";"Octubre";"48905.17";"193122.91";"3431.55"
"2009";"Noviembre";"44479.41";"185669.96";"3457.38"
"2009";"Diciembre";"47688.22";"189910.56";"3394.78"
"2010";"Enero";"40507.95";"165181.28";"2521.44"
"2010";"Febrero";"40821.17";"174743.51";"2418.11"
"2010";"Marzo";"47868.25";"199942.89";"3342.02"
"2010";"Abril";"45336.78";"184413.29";"3112.46"
"2010";"Mayo";"46102.25";"188783.76";"2828.27"
"2010";"Junio";"49134.01";"202605.59";"3421.84"
"2010";"Julio";"55899.51";"208051.81";"3690.83"
"2010";"Agosto";"53768.53";"187912.76";"3868.48"
"2010";"Septiembre";"48139.35";"185786.9";"3504.47"
"2010";"Octubre";"45766.44";"186127.38";"2998.46"
"2010";"Noviembre";"42879.2";"185700.28";"2516.65"
"2010";"Diciembre";"45903.11";"187780.75";"2757.5"
"2011";"Enero";"38995.37";"165633.56";"2068.96"
"2011";"Febrero";"39069.51";"172812.93";"2046.94"
"2011";"Marzo";"42046.04";"186332.6";"2158.12"
"2011";"Abril";"44432.02";"182195.88";"2750.08"
"2011";"Mayo";"41405.78";"179235.7";"2024.92"
"2011";"Junio";"45930.68";"187032.97";"2371.65"
"2011";"Julio";"51610.97";"197137.79";"2756.96"
