"Año";"Periodo";"Gasolina95";"Diesel";"Gasolina 98"
"2002";"Diciembre";"10848.58";"34563.71";"882.3"
"2003";"Enero";"9615.97";"34211.51";"619.7"
"2003";"Febrero";"8811.38";"35087.89";"547.51"
"2003";"Marzo";"10465.77";"37773.69";"683.5"
"2003";"Abril";"11309.17";"38004.83";"858.05"
"2003";"Mayo";"10924.26";"39918.08";"795.79"
"2003";"Junio";"9929.29";"39224.36";"719.93"
"2003";"Julio";"11321.88";"43242.63";"825.62"
"2003";"Agosto";"12686.32";"39798.87";"1108.76"
"2003";"Septiembre";"10689.08";"40002.89";"782.15"
"2003";"Octubre";"10655.5";"42041.09";"741.96"
"2003";"Noviembre";"9554.09";"38034.88";"636.41"
"2003";"Diciembre";"11529.56";"39697.36";"865.19"
"2004";"Enero";"10079.86";"37861.73";"672.18"
"2004";"Febrero";"10713.94";"40447.51";"837.05"
"2004";"Marzo";"10679.41";"43214.04";"733.76"
"2004";"Abril";"11800.88";"42537.01";"928.21"
"2004";"Mayo";"10499.81";"42555.44";"728.54"
"2004";"Junio";"10805.9";"44566.34";"725.25"
"2004";"Julio";"11899.18";"46953.17";"900.33"
"2004";"Agosto";"12494.3";"44568.14";"1017.39"
"2004";"Septiembre";"10910.45";"44348.67";"782.78"
"2004";"Octubre";"10920.76";"44266.67";"775.89"
"2004";"Noviembre";"10393.73";"44478.73";"597.03"
"2004";"Diciembre";"11876.35";"44737.98";"877.66"
"2005";"Enero";"9902.49";"40499.25";"570.45"
"2005";"Febrero";"9395.19";"41931.67";"597.79"
"2005";"Marzo";"11389.13";"46442.1";"811.8"
"2005";"Abril";"10999.21";"46461";"747.11"
"2005";"Mayo";"11123.24";"46275.78";"681.84"
"2005";"Junio";"11105.41";"46975.25";"841.67"
"2005";"Julio";"12780.92";"48514.12";"1019.01"
"2005";"Agosto";"14141.93";"48736.47";"1164.16"
"2005";"Septiembre";"11922.09";"46097.22";"856.67"
"2005";"Octubre";"11884.08";"46209.61";"821.2"
"2005";"Noviembre";"10824.82";"47384.73";"774.95"
"2005";"Diciembre";"13002.97";"47469.63";"976.75"
"2006";"Enero";"11694";"44133.57";"799.86"
"2006";"Febrero";"10761.41";"43971.21";"713.31"
"2006";"Marzo";"12608.74";"52669.26";"874.68"
"2006";"Abril";"12957.6";"48147.07";"995.56"
"2006";"Mayo";"12785.83";"51922.49";"850.26"
"2006";"Junio";"11891.59";"51845.89";"862.97"
"2006";"Julio";"12498.13";"51213.18";"865.23"
