"Año";"Periodo";"Gasolina95";"Diesel";"Gasolina 98"
"2002";"Diciembre";"21611.16";"99654.08";"2718.27"
"2003";"Enero";"19630.62";"99471.24";"2234.07"
"2003";"Febrero";"18442.06";"97723.92";"2125.34"
"2003";"Marzo";"20499.55";"105294.24";"2283.38"
"2003";"Abril";"22145.89";"106805.4";"2689.63"
"2003";"Mayo";"22103.72";"113044.49";"2612.92"
"2003";"Junio";"21647.35";"108348.49";"2671.87"
"2003";"Julio";"25597.61";"117039.31";"3248.05"
"2003";"Agosto";"29447.77";"114129.97";"4203.58"
"2003";"Septiembre";"22738.4";"113972.97";"2838.74"
"2003";"Octubre";"22302.11";"117692.53";"2594.91"
"2003";"Noviembre";"19518.37";"104124.52";"2309.64"
"2003";"Diciembre";"23546.74";"110942.34";"3106.86"
"2004";"Enero";"20363.46";"100615.31";"2339.86"
"2004";"Febrero";"22066.97";"101590.97";"2678.57"
"2004";"Marzo";"22181.11";"117783.96";"2618.36"
"2004";"Abril";"23317.08";"114356.85";"2889.59"
"2004";"Mayo";"22039.26";"113864";"2479.61"
"2004";"Junio";"23436.98";"119755.25";"2703.41"
"2004";"Julio";"27703.18";"127212.62";"3460.99"
"2004";"Agosto";"28984.2";"120467.01";"3890.34"
"2004";"Septiembre";"23271.2";"118704.45";"2721.37"
"2004";"Octubre";"22240.74";"114717.49";"2463.6"
"2004";"Noviembre";"21390.94";"115836.47";"2249.37"
"2004";"Diciembre";"24262.97";"116054.2";"2816.41"
"2005";"Enero";"20174.54";"103061.86";"2085.32"
"2005";"Febrero";"19741.46";"105919.12";"2162.17"
"2005";"Marzo";"22936.65";"118399.82";"2719.37"
"2005";"Abril";"21960.15";"119095.97";"2322.39"
"2005";"Mayo";"22935.8";"119319.97";"2563.61"
"2005";"Junio";"24143.34";"122827.65";"2841.37"
"2005";"Julio";"27848.19";"126194.25";"3524.24"
"2005";"Agosto";"32871.75";"131702.02";"4185.02"
"2005";"Septiembre";"25704.94";"122548.3";"2833.07"
