"Año";"Periodo";"Gasolina95";"Diesel";"Gasolina 98"
"2002";"Diciembre";"14356.78";"19453.19";"2384.09"
"2003";"Enero";"14030.05";"19970.28";"2242.79"
"2003";"Febrero";"14147.06";"21059.47";"2183.59"
"2003";"Marzo";"15893.4";"23498.77";"2429.94"
"2003";"Abril";"17940.53";"25351.03";"2577.63"
"2003";"Mayo";"18947.31";"28421.08";"2715.04"
"2003";"Junio";"20148.26";"29850.35";"2893.82"
"2003";"Julio";"22941.9";"34418.27";"3315.71"
"2003";"Agosto";"24588.94";"35436.34";"3446.54"
"2003";"Septiembre";"20427.98";"28197.71";"2778.2"
"2003";"Octubre";"18793.42";"26895.8";"2791.78"
"2003";"Noviembre";"14445.03";"21050.81";"2359.87"
"2003";"Diciembre";"15290.08";"21644.9";"2623.26"
"2004";"Enero";"14332.29";"20139.5";"2356.81"
"2004";"Febrero";"13648.37";"21825.77";"2029.25"
"2004";"Marzo";"16987.69";"25020.22";"2597.38"
"2004";"Abril";"18083.86";"25570.99";"2705.91"
"2004";"Mayo";"18764.63";"28249.21";"2738.57"
"2004";"Junio";"20885.65";"32380.95";"2858.52"
"2004";"Julio";"23764.95";"36991.59";"3188.75"
"2004";"Agosto";"25064.26";"37560.14";"3323.54"
"2004";"Septiembre";"20851.68";"30664.59";"2771.35"
"2004";"Octubre";"18969.89";"27798.27";"2673.33"
"2004";"Noviembre";"15694.57";"23368.09";"2282.69"
"2004";"Diciembre";"15750.27";"23112.29";"2507.9"
"2005";"Enero";"14612.51";"21591.67";"2138.59"
"2005";"Febrero";"14885.44";"23663.7";"2195.28"
"2005";"Marzo";"17146.62";"26486.53";"2524.06"
"2005";"Abril";"17890.23";"29439.77";"2476.47"
"2005";"Mayo";"19651.48";"32366.09";"2593.32"
"2005";"Junio";"21119.92";"36162.65";"2844.82"
"2005";"Julio";"24192.31";"41428.92";"3231.99"
"2005";"Agosto";"26332.33";"42985.88";"3428.36"
"2005";"Septiembre";"21181.57";"33910.57";"2663.82"
"2005";"Octubre";"19895.65";"30914.95";"2635.17"
"2005";"Noviembre";"16263.16";"26204.74";"2137.9"
"2005";"Diciembre";"16564.34";"25614.96";"2367.91"
"2006";"Enero";"15209.88";"24668.08";"1973.08"
"2006";"Febrero";"15581.76";"25956.02";"2085.33"
"2006";"Marzo";"17170.86";"30196.88";"2308.35"
"2006";"Abril";"18546.58";"30819.33";"2417.19"
"2006";"Mayo";"20675.35";"35981.74";"2533.78"
"2006";"Junio";"21629";"39703.5";"2550.08"
"2006";"Julio";"24348.3";"44500.06";"2915.36"
"2006";"Agosto";"25585.96";"44890.26";"2917.37"
"2006";"Septiembre";"21616.07";"37703.62";"2536.59"
"2006";"Octubre";"19326.48";"33412.76";"2403.55"
"2006";"Noviembre";"15908.73";"28644.47";"2158.88"
"2006";"Diciembre";"15670.9";"26365.76";"2171.27"
"2007";"Enero";"15647.09";"27792.11";"2022.9"
"2007";"Febrero";"15039.52";"28383.42";"1930.86"
"2007";"Marzo";"17732.36";"32839.99";"2358.02"
"2007";"Abril";"17771.97";"31484.01";"2196.11"
"2007";"Mayo";"20218.5";"38013.6";"2520.42"
"2007";"Junio";"21762.43";"40091.71";"2672.21"
"2007";"Julio";"23722.08";"42372.36";"2774.91"
"2007";"Agosto";"25696.96";"42432.44";"3085.6"
"2007";"Septiembre";"20460";"38262.68";"2626"
"2007";"Octubre";"19491";"36271.06";"2366"
"2007";"Noviembre";"15631";"29589";"1984"
"2007";"Diciembre";"15289.73";"28026.34";"2046.69"
"2008";"Enero";"14861.05";"28321.6";"1734.92"
"2008";"Febrero";"15122.04";"30235.63";"1870.16"
"2008";"Marzo";"16342.25";"30628.51";"2043.21"
"2008";"Abril";"17143.85";"34569.12";"2019.2"
"2008";"Mayo";"18798.37";"37317.98";"2030.51"
"2008";"Junio";"19338.03";"39351.05";"2201.64"
"2008";"Julio";"23182.24";"47082.02";"2341.7"
"2008";"Agosto";"23695.19";"44760.47";"2437.23"
"2008";"Septiembre";"19909.83";"37899.95";"1967.33"
"2008";"Octubre";"17972.41";"33351.36";"1843.88"
"2008";"Noviembre";"14812.56";"26512.63";"1587"
"2008";"Diciembre";"15183.66";"26456.87";"1707.09"
"2009";"Enero";"13988.83";"24987.44";"1472.7"
"2009";"Febrero";"14059.16";"26512.7";"1438.17"
"2009";"Marzo";"16030.44";"30280.69";"1746.93"
"2009";"Abril";"16686.2";"31000.93";"1657.84"
"2009";"Mayo";"18110.58";"35248.09";"1912.81"
"2009";"Junio";"19612.11";"39378.71";"1904.52"
"2009";"Julio";"22680.69";"45578.2";"2214.63"
"2009";"Agosto";"23222.22";"45111.33";"2191.39"
"2009";"Septiembre";"18550";"35690.91";"1811.67"
"2009";"Octubre";"17320.52";"32748.54";"1742.25"
"2009";"Noviembre";"14236.16";"26457.24";"1537.83"
"2009";"Diciembre";"14312.3";"25612.04";"1468.95"
"2010";"Enero";"12875.04";"23170.07";"1246.74"
"2010";"Febrero";"13563.25";"26003.14";"1348.88"
"2010";"Marzo";"15785.07";"30387.58";"1619.55"
"2010";"Abril";"15646.26";"29541.19";"1506.91"
"2010";"Mayo";"17512.3";"34086.08";"1572.59"
"2010";"Junio";"18924.97";"38472.09";"1750.23"
"2010";"Julio";"22441.77";"45278.61";"1968.51"
"2010";"Agosto";"23168.64";"44455.32";"1987.56"
"2010";"Septiembre";"18977.95";"35848.78";"1806.34"
"2010";"Octubre";"16807.52";"31513.06";"1439.84"
"2010";"Noviembre";"13847.68";"26670.54";"1265.69"
"2010";"Diciembre";"13901.05";"26347.31";"1321.74"
"2011";"Enero";"12652.47";"23853.5";"1068.68"
"2011";"Febrero";"12928.59";"25285.44";"1062.2"
"2011";"Marzo";"14624.11";"28150.45";"1178.27"
"2011";"Abril";"15676.47";"29617.77";"1326.35"
"2011";"Mayo";"16940.94";"33573.08";"1231.95"
"2011";"Junio";"18957.03";"37918.61";"1399.4"
"2011";"Julio";"21462.22";"42621.87";"1481.73"
"2011";"Agosto";"23963.35";"46021.26";"1678.69"
"2011";"Septiembre";"18939.25";"35855.46";"1312.41"
"2011";"Octubre";"16391.88";"30388.34";"1195.95"
"2011";"Noviembre";"13060.95";"24377.98";"1013.14"
"2011";"Diciembre";"13004.91";"24229.87";"1061.59"
"2012";"Enero";"12267.43";"22812.65";"848.34"
"2012";"Febrero";"12585.47";"25796.08";"864.16"
"2012";"Marzo";"14599.61";"27789";"1023.21"
"2012";"Abril";"15240.9";"29210.65";"937.14"
"2012";"Mayo";"16809.89";"32106.34";"989.9"
"2012";"Junio";"19371.91";"38027.87";"1273.18"
"2012";"Julio";"21797.67";"41946.59";"1122.81"
"2012";"Agosto";"24483.05";"45810.27";"1335.7"
"2012";"Septiembre";"17921.93";"33038.15";"943.59"
"2012";"Octubre";"16192.17";"30120.43";"1022.86"
"2012";"Noviembre";"12088.07";"23088.44";"665.97"
"2012";"Diciembre";"12408.21";"23179.76";"755.5"
"2013";"Enero";"11909.71";"22503.47";"595.87"
"2013";"Febrero";"11648.82";"22708.33";"690.67"
"2013";"Marzo";"13846.35";"25839.93";"757.18"
"2013";"Abril";"15353.99";"28582.3";"819.96"
"2013";"Mayo";"17257.87";"33488.99";"1025.1"
"2013";"Junio";"17808.98";"35624.85";"920.97"
"2013";"Julio";"22197.14";"43948.83";"1182.11"
"2013";"Agosto";"23159.89";"44379.37";"1308.69"
"2013";"Septiembre";"17858.8";"33215.84";"915.24"
"2013";"Octubre";"16558.87";"31105.32";"845.88"
"2013";"Noviembre";"12585.45";"23631.81";"680.25"
"2013";"Diciembre";"12200.87";"23077.25";"790.73"
"2014";"Enero";"11791.45";"22311.44";"578.57"
"2014";"Febrero";"11938.68";"22973.27";"637.97"
"2014";"Marzo";"13803.45";"26483.61";"822.63"
"2014";"Abril";"16000.96";"29258";"905.2"
"2014";"Mayo";"17214.21";"33240.72";"1014.65"
"2014";"Junio";"18612.96";"36812.84";"972.52"
"2014";"Julio";"21747.07";"42556.63";"1145.68"
"2014";"Agosto";"23286.16";"44124.4";"1221.74"
"2014";"Septiembre";"19539.47";"36702.32";"1064.79"
"2014";"Octubre";"16795.47";"32418.73";"934.88"
"2014";"Noviembre";"12324.5";"24240.5";"745.52"
"2014";"Diciembre";"12726.28";"24699.05";"791.24"
"2015";"Enero";"12168.83";"23307.37";"673.12"
"2015";"Febrero";"11612.21";"24048.54";"680.03"
"2015";"Marzo";"14061.58";"28567.93";"835.78"
"2015";"Abril";"15701.33";"30476.54";"875.6"
"2015";"Mayo";"17550.26";"34209.59";"1040.18"
"2015";"Junio";"19935.03";"39568.37";"1090.43"
"2015";"Julio";"23573.06";"46902.72";"1246.81"
"2015";"Agosto";"24244.47";"46739.42";"1223.94"
"2015";"Septiembre";"19214.33";"36867.01";"1060.55"
"2015";"Octubre";"17273.69";"32890.74";"1033.01"
"2015";"Noviembre";"12881.87";"25603.76";"860.88"
"2015";"Diciembre";"13048.82";"26340.02";"871.55"
"2016";"Enero";"11867.1";"23388.99";"745.51"
"2016";"Febrero";"12845.06";"26035.26";"843.55"
"2016";"Marzo";"14618.11";"28724.64";"958.31"
"2016";"Abril";"16096.88";"32039.1";"976.03"
"2016";"Mayo";"18504.96";"37024.53";"1205.94"
"2016";"Junio";"20283.6";"41040";"1241.99"
"2016";"Julio";"23769.85";"47683.48";"1481.11"
"2016";"Agosto";"25226.61";"49111.01";"1436.88"
"2016";"Septiembre";"20531.41";"39975.56";"1242.97"
"2016";"Octubre";"17521.39";"33437.27";"1100.38"
"2016";"Noviembre";"13422.05";"27761.65";"980.88"
"2016";"Diciembre";"12853.75";"26085.11";"907.26"
"2017";"Enero";"12244.37";"24790.99";"740.82"
"2017";"Febrero";"12731.18";"26610.16";"856.88"
