"Año";"Periodo";"Gasolina95";"Diesel";"Gasolina 98"
"2002";"Diciembre";"2842.43";"12082.57";"433.42"
"2003";"Enero";"2302.32";"11913.19";"327.63"
"2003";"Febrero";"2255.46";"12449.88";"312.32"
"2003";"Marzo";"4965.19";"13149.59";"584.96"
"2003";"Abril";"3008.2";"13463.09";"464.67"
"2003";"Mayo";"2765.42";"13808.57";"430.29"
"2003";"Junio";"2666.65";"13110.22";"409.93"
"2003";"Julio";"3254.61";"14940.78";"526.39"
"2003";"Agosto";"3421.01";"12512.13";"591.76"
"2003";"Septiembre";"2956.61";"13777.47";"454.95"
"2003";"Octubre";"2782.12";"14975.22";"430.57"
"2003";"Noviembre";"2551.68";"13440.88";"388.65"
"2003";"Diciembre";"3154.89";"13628.02";"457.56"
"2004";"Enero";"2683.82";"12636.63";"403.78"
"2004";"Febrero";"2643.52";"12495.88";"342.53"
"2004";"Marzo";"2849.46";"15360.95";"428.12"
"2004";"Abril";"3210.75";"14515.12";"464.08"
"2004";"Mayo";"2927.93";"15311.11";"439.4"
"2004";"Junio";"3149.72";"14598.78";"459.65"
"2004";"Julio";"3350.37";"15251.3";"499.76"
"2004";"Agosto";"3556.63";"13548.2";"546.47"
"2004";"Septiembre";"2934.16";"14338.17";"401.19"
"2004";"Octubre";"3024.13";"14847.43";"401.98"
"2004";"Noviembre";"2964.09";"15191.31";"363.72"
"2004";"Diciembre";"3184.03";"14291.45";"473.38"
"2005";"Enero";"2438.96";"11875.22";"310.1"
"2005";"Febrero";"2274.07";"13311.77";"327.42"
"2005";"Marzo";"3125.26";"14653.38";"488.29"
"2005";"Abril";"2803.7";"15088.9";"342.39"
"2005";"Mayo";"3088.18";"15355.34";"402.49"
"2005";"Junio";"2951.65";"14914.71";"417.44"
"2005";"Julio";"3432.62";"15092.04";"457.43"
"2005";"Agosto";"3650.2";"14380.1";"536.74"
"2005";"Septiembre";"3227.23";"15023.39";"385.59"
"2005";"Octubre";"3199.43";"14739.9";"388.49"
"2005";"Noviembre";"2911.46";"15081.07";"328.11"
"2005";"Diciembre";"3208.3";"14665.3";"399.69"
"2006";"Enero";"2669.28";"13329.78";"314.96"
"2006";"Febrero";"2852.4";"14393.1";"296.62"
"2006";"Marzo";"2996.89";"16332.77";"365.92"
"2006";"Abril";"3287.92";"14079.82";"388.52"
"2006";"Mayo";"3311.03";"16491.09";"376.1"
"2006";"Junio";"3212.17";"16457.19";"362.94"
"2006";"Julio";"3422.77";"16118.85";"403.53"
"2006";"Agosto";"3842.89";"15570.86";"455.85"
"2006";"Septiembre";"3221.68";"15538.36";"330.51"
"2006";"Octubre";"3257.39";"16496.5";"395.44"
"2006";"Noviembre";"2951.99";"16160.76";"326.69"
"2006";"Diciembre";"3142.6";"15692.19";"374.92"
"2007";"Enero";"2562.51";"14274.67";"278.85"
"2007";"Febrero";"2385.37";"14805.92";"262.27"
"2007";"Marzo";"2803.71";"16723.07";"339.35"
"2007";"Abril";"2879.03";"14982.71";"358.13"
"2007";"Mayo";"2970.21";"16701.58";"318.1"
"2007";"Junio";"2893.49";"16817.17";"341.17"
"2007";"Julio";"3091.29";"16758.79";"405.54"
"2007";"Agosto";"3373";"15807.78";"413.7"
"2007";"Septiembre";"2718";"15428.33";"317"
"2007";"Octubre";"3084";"18171.72";"373"
"2007";"Noviembre";"2703";"16334.66";"298"
"2007";"Diciembre";"2819";"15014";"340"
"2008";"Enero";"2471.41";"14985.76";"257.43"
"2008";"Febrero";"2565.32";"17247.64";"265.26"
"2008";"Marzo";"2760.91";"14885.42";"325.56"
"2008";"Abril";"2768.54";"16422.68";"281.03"
"2008";"Mayo";"2688.95";"15343.56";"284.06"
"2008";"Junio";"2633.58";"14422.79";"294.53"
"2008";"Julio";"2994.8";"15789.52";"291.55"
"2008";"Agosto";"3321.39";"14446.14";"343.95"
"2008";"Septiembre";"2748.84";"14545.23";"295.38"
"2008";"Octubre";"2791.12";"16134.44";"280.33"
"2008";"Noviembre";"2502.83";"14284.08";"214.84"
"2008";"Diciembre";"2746.87";"14321.35";"272.98"
"2009";"Enero";"2261.1";"12696.44";"226.78"
"2009";"Febrero";"2216.61";"13058.75";"201.25"
