"Año";"Periodo";"Gasolina95";"Diesel";"Gasolina 98"
"2002";"Diciembre";"1675.76";"2418.56";"0"
"2003";"Enero";"1313.57";"2270";"0"
"2003";"Febrero";"1501.44";"1668.58";"0"
"2003";"Marzo";"1522.58";"2094.07";"0"
"2003";"Abril";"1493.3";"2728.76";"0"
"2003";"Mayo";"1306.66";"2445.86";"0"
"2003";"Junio";"1533.36";"3039.67";"0"
"2003";"Julio";"1611.94";"2844.5";"0"
"2003";"Agosto";"1629.74";"2878.41";"0"
"2003";"Septiembre";"1436.59";"2325.99";"0"
"2003";"Octubre";"1748.49";"2779.38";"0"
"2003";"Noviembre";"1196.49";"1932.02";"0"
"2003";"Diciembre";"1288.05";"2321.28";"0"
"2004";"Enero";"1646.89";"2817.54";"0"
"2004";"Febrero";"754.3";"1290.08";"0"
"2004";"Marzo";"1271.54";"2011.86";"0"
"2004";"Abril";"1345.01";"1933.02";"0"
"2004";"Mayo";"952.33";"1324.65";"0"
"2004";"Junio";"893.81";"1770.94";"0"
"2004";"Julio";"1005.4";"1766.43";"0"
"2004";"Agosto";"1233.5";"1848.21";"0"
"2004";"Septiembre";"901.58";"1887.58";"0"
"2004";"Octubre";"623.75";"3791.63";"0"
"2004";"Noviembre";"935.35";"1530.04";"0"
"2004";"Diciembre";"1032.58";"1719.05";"0"
"2005";"Enero";"1344.99";"2096.85";"0"
"2005";"Febrero";"234.02";"753.43";"0"
"2005";"Marzo";"981.37";"1698.5";"0"
"2005";"Abril";"1021.78";"1138.27";"0"
"2005";"Mayo";"1005.43";"1729.53";"0"
"2005";"Junio";"990.7";"1497.28";"0"
"2005";"Julio";"1014.28";"1859.08";"0"
"2005";"Agosto";"1295.24";"2170.5";"0"
"2005";"Septiembre";"1024.06";"1753.93";"0"
"2005";"Octubre";"979.52";"2002.42";"0"
"2005";"Noviembre";"523.22";"796.64";"0"
"2005";"Diciembre";"915.46";"1514.05";"0"
"2006";"Enero";"887.45";"1562.44";"0"
"2006";"Febrero";"756.7";"1331.2";"0"
"2006";"Marzo";"791.7";"1421.82";"0"
"2006";"Abril";"701.9";"1545.06";"0"
"2006";"Mayo";"499.98";"1234.66";"0"
"2006";"Junio";"513.69";"756.57";"0"
"2006";"Julio";"720.75";"917.17";"0"
"2006";"Agosto";"946.23";"1081.57";"0"
"2006";"Septiembre";"811.77";"1751.41";"0"
"2006";"Octubre";"738.23";"1753.53";"0"
"2006";"Noviembre";"721.41";"1614.02";"0"
"2006";"Diciembre";"476.24";"1490.65";"0"
"2007";"Enero";"753";"1419";"0"
"2007";"Febrero";"657";"1363";"0"
"2007";"Marzo";"751";"1419";"0"
"2007";"Abril";"603";"1468";"0"
"2007";"Mayo";"723";"1436";"0"
"2007";"Junio";"459";"1472";"0"
"2007";"Julio";"781";"1772";"0"
"2007";"Agosto";"718";"1688";"0"
"2007";"Septiembre";"641";"991.52";"0"
