"Año";"Periodo";"Gasolina95";"Diesel";"Gasolina 98"
"2002";"Diciembre";"12504.75";"60306.5";"1543.62"
"2003";"Enero";"11412.61";"64365.28";"1278.86"
"2003";"Febrero";"10842.26";"61458.76";"1215.58"
"2003";"Marzo";"12057.06";"64778.18";"1286.74"
"2003";"Abril";"13089.28";"64109.04";"1561.82"
"2003";"Mayo";"13084.8";"68368.76";"1513.79"
"2003";"Junio";"12892.72";"66538.71";"1554.85"
"2003";"Julio";"15532.4";"73252.1";"1908.22"
"2003";"Agosto";"15302.99";"62698.86";"2024.41"
"2003";"Septiembre";"13161.73";"64877.36";"1567.38"
"2003";"Octubre";"13029.86";"70355.44";"1469.06"
"2003";"Noviembre";"11660.63";"64262.55";"1350.1"
"2003";"Diciembre";"13656.78";"70511.57";"1690.58"
"2004";"Enero";"11974.36";"65950.78";"1380.95"
"2004";"Febrero";"12188.56";"67978.76";"1424.7"
"2004";"Marzo";"13060.99";"72472.51";"1612.66"
"2004";"Abril";"13394.87";"68328.1";"1608.44"
"2004";"Mayo";"13008.48";"71380.23";"1522.78"
"2004";"Junio";"14293.83";"73906.56";"1673.76"
"2004";"Julio";"15715.37";"77158.09";"1903.8"
"2004";"Agosto";"15596.57";"67721.63";"1980.63"
"2004";"Septiembre";"13485.9";"70446.21";"1549.84"
"2004";"Octubre";"13252.39";"69444.34";"1497.14"
"2004";"Noviembre";"12533.77";"73893.99";"1293.75"
"2004";"Diciembre";"13699.73";"75124.95";"1588.51"
"2005";"Enero";"12074.61";"66890.73";"1339"
"2005";"Febrero";"11662.35";"69999.48";"1246.97"
"2005";"Marzo";"13862.98";"75130.35";"1629.4"
"2005";"Abril";"13456.59";"78376.22";"1479.83"
"2005";"Mayo";"14101.56";"78919.93";"1597.77"
"2005";"Junio";"14546.13";"79830.85";"1698.22"
"2005";"Julio";"16231.85";"82011.9";"1892.22"
"2005";"Agosto";"16264.54";"76190.56";"2019.19"
"2005";"Septiembre";"14293.84";"74436.34";"1763.87"
"2005";"Octubre";"14761.31";"74590.3";"1555.96"
"2005";"Noviembre";"13421.87";"79354.34";"1346.01"
"2005";"Diciembre";"14792.64";"79780.6";"1662.47"
"2006";"Enero";"13042.07";"74530.05";"1377.1"
"2006";"Febrero";"12752.94";"75906.2";"1330.89"
"2006";"Marzo";"14309.88";"87542.79";"1626.71"
"2006";"Abril";"14370.87";"78456.24";"1662.06"
"2006";"Mayo";"15020.79";"88980.64";"1581.97"
"2006";"Junio";"14951.95";"87438.51";"1672.87"
"2006";"Julio";"15963.44";"86400.15";"1767.63"
"2006";"Agosto";"16380.57";"80519.3";"1930.76"
"2006";"Septiembre";"14380.65";"79724.79";"1513.27"
"2006";"Octubre";"14250.98";"81699.65";"1458.9"
"2006";"Noviembre";"13129.19";"82251.32";"1404.43"
"2006";"Diciembre";"13717.63";"82740.28";"1676.93"
"2007";"Enero";"13363.21";"83147.68";"1304.32"
"2007";"Febrero";"12324.29";"81279.02";"1290.87"
"2007";"Marzo";"14801.17";"94424.89";"1728.67"
"2007";"Abril";"13487.98";"82744.41";"1489.33"
"2007";"Mayo";"14601.39";"93824.1";"1568.78"
"2007";"Junio";"15575.67";"94643.26";"1707.69"
"2007";"Julio";"16235.23";"96681.92";"1911.96"
"2007";"Agosto";"16371.03";"88399.15";"2021.69"
"2007";"Septiembre";"13503";"81532.5";"1555"
"2007";"Octubre";"14336";"90467.76";"1499"
"2007";"Noviembre";"12974";"87488";"1401"
"2007";"Diciembre";"13463.49";"85670.94";"1510.55"
"2008";"Enero";"12790.35";"87121.23";"1285.54"
"2008";"Febrero";"12216.46";"86146.16";"1227.39"
"2008";"Marzo";"13082.58";"83719.17";"1424.58"
"2008";"Abril";"13239.22";"91194.77";"1316.25"
"2008";"Mayo";"13673.01";"87941.3";"1342.67"
"2008";"Junio";"13407.69";"86191.48";"1569.39"
"2008";"Julio";"15998.68";"92633.48";"1381.66"
"2008";"Agosto";"15494.34";"79268.71";"1513.79"
"2008";"Septiembre";"13130.49";"77867.12";"1218.07"
