"Año";"Periodo";"Gasolina95";"Diesel";"Gasolina 98"
"2002";"Diciembre";"6434.16";"35721.03";"634.93"
"2003";"Enero";"6136.77";"37335.26";"528.12"
"2003";"Febrero";"5527.9";"39126.91";"490.8"
"2003";"Marzo";"6590";"43236.42";"659.77"
"2003";"Abril";"6928.52";"41491.14";"681.25"
"2003";"Mayo";"7296.72";"43276.48";"665.06"
"2003";"Junio";"6983.32";"42821.85";"680.17"
"2003";"Julio";"7140.44";"43981.96";"796.46"
"2003";"Agosto";"7717.1";"35965.16";"881.13"
"2003";"Septiembre";"7030.57";"43390.46";"656.17"
"2003";"Octubre";"7340.88";"47586.87";"713.2"
"2003";"Noviembre";"6380.92";"44100.57";"576.3"
"2003";"Diciembre";"6881.32";"41080.91";"671.87"
"2004";"Enero";"6599.02";"43126.07";"552.66"
"2004";"Febrero";"5912.55";"42157.33";"485.49"
"2004";"Marzo";"7022.67";"49330.01";"630.06"
"2004";"Abril";"7400.32";"45788.94";"710.9"
"2004";"Mayo";"7061.04";"46499.44";"610.06"
"2004";"Junio";"7137.32";"49048.31";"664.46"
"2004";"Julio";"7292.35";"46697.86";"741.79"
"2004";"Agosto";"7955.39";"41088.32";"806.29"
"2004";"Septiembre";"7328.8";"47040.71";"624.49"
"2004";"Octubre";"7075.71";"47042.65";"630.29"
"2004";"Noviembre";"7152.22";"50209.05";"557.5"
"2004";"Diciembre";"7055.46";"46513.05";"643.27"
"2005";"Enero";"6089.68";"42823.57";"456.34"
"2005";"Febrero";"5844.94";"44614.55";"471.27"
"2005";"Marzo";"7319.99";"49309.35";"658.98"
"2005";"Abril";"6798.9";"49390.21";"555.73"
"2005";"Mayo";"7652.54";"51276.14";"648.61"
"2005";"Junio";"7370.27";"51836.97";"664.96"
"2005";"Julio";"7565.73";"48510.85";"747.32"
"2005";"Agosto";"8354.04";"45377.54";"745.9"
"2005";"Septiembre";"7529.7";"51173.59";"668.42"
"2005";"Octubre";"7477.82";"52145.95";"611.5"
"2005";"Noviembre";"7056.73";"52845.45";"534.01"
"2005";"Diciembre";"7175.76";"49476.29";"566.51"
"2006";"Enero";"6877.14";"48746.85";"529.09"
"2006";"Febrero";"6930.95";"50495.04";"564.25"
"2006";"Marzo";"7344.24";"56082.78";"567.11"
"2006";"Abril";"7626.72";"49859.01";"724.75"
"2006";"Mayo";"8119.52";"58659.27";"642.15"
"2006";"Junio";"7722.32";"55657.58";"649.14"
"2006";"Julio";"7744.13";"51685.52";"684.57"
"2006";"Agosto";"8856.99";"49207.87";"739.79"
"2006";"Septiembre";"7815.11";"53435.03";"634.33"
"2006";"Octubre";"7666.38";"53710.95";"594.83"
"2006";"Noviembre";"7050.33";"56003.07";"522.44"
"2006";"Diciembre";"7553.84";"51163.66";"630.43"
"2007";"Enero";"6386.24";"54009.02";"463.47"
"2007";"Febrero";"6111.79";"54476.56";"426.99"
"2007";"Marzo";"7261.42";"61564.49";"599.97"
"2007";"Abril";"7349.23";"54327.83";"581.64"
"2007";"Mayo";"7467.05";"58600.79";"611.66"
"2007";"Junio";"7580.43";"58592.81";"653.81"
"2007";"Julio";"7478.66";"57391.97";"653.56"
"2007";"Agosto";"8225.36";"51937";"775.28"
"2007";"Septiembre";"7149";"52884.86";"563"
"2007";"Octubre";"7699.44";"61926.14";"609.25"
"2007";"Noviembre";"7108";"61385.75";"541"
"2007";"Diciembre";"6906.42";"53012.18";"528.3"
"2008";"Enero";"6514.4";"59048.67";"446.91"
"2008";"Febrero";"6666.27";"60490.06";"498.51"
"2008";"Marzo";"6717.11";"57712.81";"492.11"
"2008";"Abril";"7250.54";"63679.16";"501.44"
"2008";"Mayo";"7515.51";"59506.9";"560.6"
"2008";"Junio";"6992.14";"49813.43";"495.05"
"2008";"Julio";"7539.63";"58318.6";"501.63"
"2008";"Agosto";"7748.88";"50194.78";"608.08"
"2008";"Septiembre";"7139.05";"55326.8";"465.11"
"2008";"Octubre";"7392.49";"52103.21";"464.19"
"2008";"Noviembre";"6342";"51465.34";"428.1"
"2008";"Diciembre";"6763.72";"46129.92";"442.04"
"2009";"Enero";"6132.49";"46566.5";"371.69"
"2009";"Febrero";"5859.63";"47530.25";"380.41"
"2009";"Marzo";"6518.27";"52923.78";"425.58"
"2009";"Abril";"6867.23";"51841.42";"476.91"
"2009";"Mayo";"6546.29";"51124.7";"422.69"
"2009";"Junio";"7189.92";"54946.76";"499.93"
"2009";"Julio";"7282.6";"53995.16";"491.1"
"2009";"Agosto";"7520.06";"47239.79";"525.19"
"2009";"Septiembre";"6763.62";"51611.97";"454.7"
"2009";"Octubre";"7063.21";"54835.83";"434.79"
"2009";"Noviembre";"6165.39";"52541.86";"356.08"
"2009";"Diciembre";"6334.66";"45207.75";"343.02"
"2010";"Enero";"5743.97";"48323.18";"369.86"
"2010";"Febrero";"5506.94";"51082.18";"322.28"
"2010";"Marzo";"6932.27";"60704.02";"452.54"
"2010";"Abril";"6630.98";"55885.67";"394.54"
"2010";"Mayo";"6555.42";"56135.43";"367.05"
"2010";"Junio";"6633.6";"58281.19";"451.08"
"2010";"Julio";"6846.42";"54539.98";"485.61"
"2010";"Agosto";"7144.06";"49062.14";"546.69"
"2010";"Septiembre";"6661.18";"52660.47";"416.21"
"2010";"Octubre";"6579.17";"54400.07";"406.15"
"2010";"Noviembre";"6057.7";"56668.1";"355.25"
"2010";"Diciembre";"6214.45";"52413.14";"345.57"
"2011";"Enero";"5555.2";"52082.63";"281.4"
"2011";"Febrero";"5652.18";"53234.54";"305.48"
"2011";"Marzo";"6348.65";"60195.52";"322.13"
"2011";"Abril";"6594.18";"54457";"369.14"
"2011";"Mayo";"6400.76";"56801.57";"286.17"
"2011";"Junio";"6556.3";"56459.65";"360.79"
"2011";"Julio";"6292.6";"51677.85";"344.17"
"2011";"Agosto";"7224.31";"49752.5";"443.61"
"2011";"Septiembre";"6437.82";"46718.33";"350.88"
"2011";"Octubre";"6425.34";"53622.22";"318.28"
"2011";"Noviembre";"5809.98";"52656.53";"251.59"
"2011";"Diciembre";"5926.51";"49670.52";"236.96"
"2012";"Enero";"5419.67";"49909.67";"222.69"
"2012";"Febrero";"5159.88";"53626.99";"219.46"
"2012";"Marzo";"6270.09";"57931.01";"277.73"
"2012";"Abril";"5882.53";"53777.96";"254.31"
"2012";"Mayo";"6146.01";"56326.46";"243.26"
"2012";"Junio";"6273.39";"56608.58";"350.78"
"2012";"Julio";"5789.47";"49953.69";"221.84"
"2012";"Agosto";"6560.98";"46812.04";"336.28"
"2012";"Septiembre";"5233.31";"44032.45";"206.34"
"2012";"Octubre";"6171.18";"48944.05";"193.61"
"2012";"Noviembre";"5254.34";"46564.11";"155.07"
"2012";"Diciembre";"6741.03";"43999.78";"255.89"
"2013";"Enero";"4736.36";"45538.47";"139.12"
"2013";"Febrero";"4392.67";"44129.57";"118.36"
"2013";"Marzo";"5060.41";"46905.55";"188.74"
"2013";"Abril";"5357.81";"49100.63";"206.92"
"2013";"Mayo";"5361.82";"46865.25";"186.65"
"2013";"Junio";"5148.96";"44789.9";"191.05"
"2013";"Julio";"5808.72";"47036.29";"237.64"
"2013";"Agosto";"6012.9";"43277.1";"264.91"
"2013";"Septiembre";"5198.57";"42776.28";"216.42"
"2013";"Octubre";"5664.91";"48987.48";"234.99"
