"Año";"Periodo";"Gasolina95";"Diesel";"Gasolina 98"
"2002";"Diciembre";"19709.72";"86555.83";"2577.85"
"2003";"Enero";"18398.35";"91427.02";"2196.11"
"2003";"Febrero";"18054.78";"93563.38";"2105.5"
"2003";"Marzo";"20170.45";"99831.3";"2369.91"
"2003";"Abril";"21403.79";"94858.53";"2751.89"
"2003";"Mayo";"21447.79";"102375.86";"2567.02"
"2003";"Junio";"20968.99";"99537.46";"2678.92"
"2003";"Julio";"22813.64";"104896.47";"3441.9"
"2003";"Agosto";"21150.55";"81165.68";"3480.33"
"2003";"Septiembre";"20963.38";"97963.69";"2566.31"
"2003";"Octubre";"21190.18";"108418.36";"2713.21"
"2003";"Noviembre";"18861.84";"97117.8";"2297.2"
"2003";"Diciembre";"21753.16";"97985.9";"2839.66"
"2004";"Enero";"19086.1";"95604.74";"2313.3"
"2004";"Febrero";"17463.8";"94433.3";"2164.79"
"2004";"Marzo";"20604.65";"110540.21";"2611.97"
"2004";"Abril";"20065";"101680.48";"2674.9"
"2004";"Mayo";"20733.27";"106138.53";"2608.42"
"2004";"Junio";"20747.72";"107059.01";"2668.42"
"2004";"Julio";"23204.21";"115190.51";"3264.31"
"2004";"Agosto";"20570.48";"88536.71";"3236.24"
"2004";"Septiembre";"19901.1";"105613.26";"2422.88"
"2004";"Octubre";"20014.59";"105908.6";"2414.24"
"2004";"Noviembre";"19626.67";"109079.8";"2180.77"
"2004";"Diciembre";"20544.86";"104120.27";"2572.43"
"2005";"Enero";"18081.07";"97269.56";"2109.04"
"2005";"Febrero";"17329.11";"103261.09";"1977.2"
"2005";"Marzo";"20553.39";"113239.35";"2656.4"
"2005";"Abril";"19951.98";"114940.29";"2368.98"
"2005";"Mayo";"20463.33";"112795.57";"2529.9"
"2005";"Junio";"21022.74";"118575.12";"2637.73"
"2005";"Julio";"23000.13";"118393.74";"3121.39"
"2005";"Agosto";"22041.67";"102556.01";"3132.24"
"2005";"Septiembre";"20675.19";"113733.82";"2456.73"
"2005";"Octubre";"21144.36";"113157.63";"2502.26"
"2005";"Noviembre";"19742.64";"115182.72";"2098.19"
"2005";"Diciembre";"21194.94";"110827.93";"2526.08"
"2006";"Enero";"19534.45";"110228.01";"2201.61"
"2006";"Febrero";"18017.73";"110878.31";"2071.7"
"2006";"Marzo";"21364.13";"129352.64";"2467.07"
"2006";"Abril";"20980.83";"114629.42";"2683.09"
